"","klasifikasi","x","Predicted"
"92","Netral","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin sinov","Netral"
"396","Netral","vaksin sinovac astrazeneca moderna pfizer posko vaksinasi psi jakaa sedia empat jenis vaksin sebu","Netral"
"1003","Netral","informasi vaksin covid bogor sinovac dosis camat ciomas sedia kuota","Netral"
"117","Positif","alhamdulillah udah suntik vaksin sinovac dosis ama","Netral"
"382","Netral","vaksinasi dosis ama jenis vaksin sinovac kapolres terang","Netral"
"658","Netral","beda merek vaksin beda isi pilih vaksin aman whole virus inactived sinovac coronavac sinopharm","Netral"
"899","Negatif","vaksin besok sinovac pakai sinovac efek samping yalebih takut kena efek","Negatif"
"1115","Netral","kodim sleman selesa vaksinasi dosis sasar sleman komando distrik mil","Netral"
"1014","Netral","apel aman giat vaksinasi massal gerai vaksin presisi polres brebes dosis dosis va","Netral"
"367","Netral","vaksin astrazeneca engah engah sept ou adekku sinovac","Netral"
"68","Netral","iya sinovac nder langsung dehhhh ajaa tempat vaksin ama","Netral"
"1091","Positif","vaksin pulih nusantara vaksin ruji khasiat tingkat imunitas","Positif"
"1439","Netral","vaksin sinovac","Netral"
"242","Negatif","tolak pemaksaan vaksin mba kritik keras vaksin sinovac tidak","Negatif"
"284","Netral","selamat bpkibu memang jabat beri vaksin izikan beaya s","Netral"
"120","Netral","ayo intip beda vaksin astrazeneca sinovac","Netral"
"41","Netral","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek daftar","Netral"
"203","Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa","Netral"
"329","Netral","efektif sinovac guru guru vaksin booster","Netral"
"857","Netral","sempet cek antibodi kuantitatif covid","Netral"
"675","Negatif","sing vaksin e sinovac rasah maki ngene astrea grandneva","Negatif"
"1077","Positif","waah mantaabb nit alhamdulillah udah vaksin ama sept sinovac dapet pfizer terminal","Netral"
"1056","Negatif","seng vaksin e sinovac ra sok keras kyo ngene astreav","Negatif"
"1151","Negatif","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis vaksin c","Netral"
"490","Netral","informasi jadwal vaksin covid sinovac dosis garut buka","Netral"
"654","Netral","vaksin bagi sinovac suami astrazeneca zenneca tante ku manula pfizer adek pupu nake","Netral"
"374","Positif","dosis vaksin sinovac sumut personil brimob awal","Netral"
"135","Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharj","Netral"
"426","Negatif","antri vaksin dom antri banding dufan plsss kenapaaa susah banget vaksin sinovac dom","Netral"
"760","Netral","informasi sedia vaksin sinovac desa jejalen kabbekasi","Netral"
"761","Netral","tidak vaksin ama sinovac","Netral"
"23","Negatif","tidak vaksin sinovac efek nya ngantuk parah laper","Negatif"
"473","Negatif","arab saudi visa turis tidak wni indonesia kena travel ban arab saudi","Negatif"
"1110","Negatif","abah kali ve no simptom from day till day ayep ama je sakit badan xlarat dem","Netral"
"1265","Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat me","Positif"
"281","Netral","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sinovac melep","Netral"
"858","Positif","beempat kampus feb untan vaksinasi covid tahap kali hasil capai angka vial sinov","Netral"
"743","Positif","bagus nder tidak bagus kalauudah vaksin sinovac tidak ganti nder yakin sih bagus","Netral"
"995","Positif","therapeutic goods administration vaksin sinovac astrazeneca masuk daftar vaksin covid aku keput","Positif"
"256","Negatif","oh iy vaksin sinovac dosis rasany dugun banget literally pergi","Netral"
"70","Netral","beempat pendopo kantor desa plosokerep camat karangmalang kabupaten sragen laksana vaksin dosis r","Netral"
"1351","Netral","via vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share ht","Netral"
"781","Netral","sobat polri vaksin covid menteng adakan lurah menteng dosis vaksin sinovac astrazeneca zenecca","Netral"
"9","Negatif","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube h","Negatif"
"1373","Netral","akang teteh sadayana punten informasi vaksin dosis nya bukan bandung mana yah kalo","Netral"
"131","Negatif","orang peikai menteri diskriminasi orang vaccinated non vaccinated jenis vaksin kena discr","Netral"
"909","Negatif","rasah kakean cangkem asline ki ultraman bar vaksin sinovac dadi kuat ilang","Negatif"
"397","Netral","vaksin dosis astrazeneca sinovac","Netral"
"1121","Netral","tf informasi vaksin sinovac besok non tegal gais kalaudinkes","Netral"
"881","Netral","jadwal vaksin jogja kulon progo sinovac dosis link daftar tidak","Netral"
"1039","Netral","jbrfess informasi vaksin laksana kodim balai desa sukorambi sasar","Netral"
"1144","Positif","temen asma udah vaksin sinovac aman asma baik sgr vaksin temen","Positif"
"1311","Negatif","orang pfizer sinovac efek tidak oknum bilang habis vaksin sakit","Negatif"
"1282","Netral","kapolres brebes akbp faisal febrianto sik monitoring laksana giat vaksinasi mass","Netral"
"427","Netral","informasi vaksinasi covid bandung vaksin sinovac dosis","Netral"
"1015","Negatif","rasah kokean ngece asline ki kuat bar vaksin sinovac kuat ilang","Negatif"
"1428","Negatif","kesal belum vaksin daftar vaksin moderna pas cek tugas nik daftar seif","Netral"
"513","Netral","personil polsek sanden pimpin kanit provos iptu suharyanto laksana aman monitoring vaksinasi covid","Netral"
"384","Netral","lu vaksin pfizer sinovac doang eh under","Netral"
"235","Negatif","tolong keluarga kaga vaksin gamau sinovac j","Netral"
"550","Negatif","vaksin dapet sinovac efek samping laper tidak","Negatif"
"696","Netral","its vaksin sinovac nder","Netral"
"1106","Netral","informasi vaksin sinovac mustika jaya bantu repost","Netral"
