"","score","text","klasifikasi","x"
"28",2," aku beri sumbernya langsung biar kamu mau baca ","Positif"," aku beri sumbernya langsung biar kamu mau baca "
"29",-1,"informasi vaksin sinovac dosis di malang dong","Netral","informasi vaksin sinovac dosis di malang dong"
"31",4,"untuk vaksin kedua pastikan jenis vaksin sama sinovaccorona vac jarak antara vaksin peama dengan vaksin kedua… ","Netral","untuk vaksin kedua pastikan jenis vaksin sama sinovaccorona vac jarak antara vaksin peama dengan vaksin kedua… "
"32",3," kabar dari vaksin sinovac vaksin sinovac dosis ke terbukti mampu menghasilkan antibodi yang mampu menetralisir varian…","Positif"," kabar dari vaksin sinovac vaksin sinovac dosis ke terbukti mampu menghasilkan antibodi yang mampu menetralisir varian…"
"33",-2,"gejala setelah vaksin moderna lebih parah dibanding vaksin sinovac masih demam juga","Negatif","gejala setelah vaksin moderna lebih parah dibanding vaksin sinovac masih demam juga"
"34",2," banyak kok yang astrazeneca kalau yang baru vaksin sudah pakai pfizer sebagian ya kalaudi indonesia aja tidak apa-apa sih sinovac… ","Positif"," banyak kok yang astrazeneca kalau yang baru vaksin sudah pakai pfizer sebagian ya kalaudi indonesia aja tidak apa-apa sih sinovac… "
"35",0," tapi tapi semua yang tinggal di merah putih vaksin sinovac kak ","Netral"," tapi tapi semua yang tinggal di merah putih vaksin sinovac kak "
"36",-1," vaksin dosis dengan jenis sinovac hadir kembali teruntuk mahasiswa umy alumni umy pelajar masyarakat umum yang sudah mengik…","Netral"," vaksin dosis dengan jenis sinovac hadir kembali teruntuk mahasiswa umy alumni umy pelajar masyarakat umum yang sudah mengik…"
"37",0,"reuni duo alumni waawan senior tempo dahlan iskan “saya vaksin sinovac hanya untuk ke mall” full youtube gitu… ","Negatif","reuni duo alumni waawan senior tempo dahlan iskan “saya vaksin sinovac hanya untuk ke mall” full youtube gitu… "
"39",0,"percepatan vaksinasi dalam rangka penanganan covid menuju indonesia sehat kembali dilaksanakan di kantor kapanew… ","Positif","percepatan vaksinasi dalam rangka penanganan covid menuju indonesia sehat kembali dilaksanakan di kantor kapanew… "
"40",2,"berasal dari puskesmas pada dinas kesehatan kota ambon dan tim dari tni jenis vaksin yang digunakan yakni sinovac … ","Positif","berasal dari puskesmas pada dinas kesehatan kota ambon dan tim dari tni jenis vaksin yang digunakan yakni sinovac … "
"41",2," informasi jadwal vaksin terbaru oktober dosis sinovac kuota di terminal bandara juanda gratis beras kg cek pendaftar…","Netral"," informasi jadwal vaksin terbaru oktober dosis sinovac kuota di terminal bandara juanda gratis beras kg cek pendaftar…"
"42",-1," st panel pn sama kajian guna teknologi baru sptotnya pakai virus btol mrna comes from dna copy of vir… ","Netral"," st panel pn sama kajian guna teknologi baru sptotnya pakai virus btol mrna comes from dna copy of vir… "
"43",0," lihat balas pada bilang sakit semua tapi jujur di aku tidak ada rasa lebih baik banget dri pada yang peama aku kan s… ","Positif"," lihat balas pada bilang sakit semua tapi jujur di aku tidak ada rasa lebih baik banget dri pada yang peama aku kan s… "
"44",0,"asline aku kuat seperti boboboiy tapi bar di suntik vaksin sinovac winggi kekuatanku dadi ilang kabeh","Negatif","asline aku kuat seperti boboboiy tapi bar di suntik vaksin sinovac winggi kekuatanku dadi ilang kabeh"
"46",0," informasi vaksin sinovac dosis ","Netral"," informasi vaksin sinovac dosis "
"47",0," vaksin astrazeneca atau sinovac","Netral"," vaksin astrazeneca atau sinovac"
"48",0," aku taunya vaksin sinovac aja tidak tahu kalauada vaksin sinovac","Netral"," aku taunya vaksin sinovac aja tidak tahu kalauada vaksin sinovac"
"50",1," untuk besok vaksin sinovac dosis ktp bebas tanggal oktober syarat dosis sinovac…","Netral"," untuk besok vaksin sinovac dosis ktp bebas tanggal oktober syarat dosis sinovac…"
"51",1,"bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan binaan upt puskesmas ii… ","Netral","bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan binaan upt puskesmas ii… "
"52",3,"vaksin sinovac merupakan vaksin yang digunakan di indonesia simak manfaat vaksin lawan palsu vaksin ","Positif","vaksin sinovac merupakan vaksin yang digunakan di indonesia simak manfaat vaksin lawan palsu vaksin "
"54",1,"ayo vaksin bersama kami ","Positif","ayo vaksin bersama kami "
"55",1," dosis sinovac mulaitahun ktpdomisili bebas tanggal oktober khusus pesea baru syarat vaksin … ","Netral"," dosis sinovac mulaitahun ktpdomisili bebas tanggal oktober khusus pesea baru syarat vaksin … "
"56",2," malaysia menerima bekalan peama vaksin coronavac sebanyak liter yang dihantar terminal… ","Positif"," malaysia menerima bekalan peama vaksin coronavac sebanyak liter yang dihantar terminal… "
"57",1," untuk besok vaksin sinovac dosis ktp bebas tanggal oktober syarat dosis sin… ","Netral"," untuk besok vaksin sinovac dosis ktp bebas tanggal oktober syarat dosis sin… "
"58",1,"orangorang kalauvaksin sinovac nanti efeknya ngantuk sama makan mulu lohhh aku tidak bisa bedain mana efek vaksin a… ","Negatif","orangorang kalauvaksin sinovac nanti efeknya ngantuk sama makan mulu lohhh aku tidak bisa bedain mana efek vaksin a… "
"59",0," iyap sinovac tidak diakui di singapur kemarin kayanya di eropa juga tidak bisa jadi harus vaksin ulang antara modernapfizer","Negatif"," iyap sinovac tidak diakui di singapur kemarin kayanya di eropa juga tidak bisa jadi harus vaksin ulang antara modernapfizer"
"60",3,"gerai vaksin kecamatan pondok gede lokasi vaksinasi balai warga sigma rw kelurahan jatimakmur kegiatan vaksin p… ","Netral","gerai vaksin kecamatan pondok gede lokasi vaksinasi balai warga sigma rw kelurahan jatimakmur kegiatan vaksin p… "
"61",-1,"eh serius dari kemarin aku memang mikirin biaya sgmalaythai tapi the most impoant thing itu aku mikir vaksinnnnn… ","Negatif","eh serius dari kemarin aku memang mikirin biaya sgmalaythai tapi the most impoant thing itu aku mikir vaksinnnnn… "
"63",2," total vaksin yang tiba di indonesia baik dalam bentuk bulk atau bahan baku maupun bentuk jadi berjumlah d…","Netral"," total vaksin yang tiba di indonesia baik dalam bentuk bulk atau bahan baku maupun bentuk jadi berjumlah d…"
"64",-1," mungkin efek vaksin kalau dapat sinovac usahakan banyak makan dan minum biar tubuh bugarr kalau malas makan… ","Positif"," mungkin efek vaksin kalau dapat sinovac usahakan banyak makan dan minum biar tubuh bugarr kalau malas makan… "
"66",0,"informasi vaksin sinovac bandung ini teman lokasinya di isbi bdg bisa langsung ke link ini ya ","Netral","informasi vaksin sinovac bandung ini teman lokasinya di isbi bdg bisa langsung ke link ini ya "
"67",-1," gausah lanjut dosis ke dua aja ditempat vaksin yang sama harus sinovac lagi juga","Netral"," gausah lanjut dosis ke dua aja ditempat vaksin yang sama harus sinovac lagi juga"
"68",0," iya harus sinovac juga nder bisa langsung kedua dehhhh tanya ajaa ke tempatmu vaksin peama","Netral"," iya harus sinovac juga nder bisa langsung kedua dehhhh tanya ajaa ke tempatmu vaksin peama"
"69",0,"serda kokok juang nadili babinsa desa poleng melaksanakan kegiatan pendampingan serbuan vaksin covid dosis l tah… ","Netral","serda kokok juang nadili babinsa desa poleng melaksanakan kegiatan pendampingan serbuan vaksin covid dosis l tah… "
"70",1,"beempat di pendopo kantor desa plosokerep kecamatan karangmalang kabupaten sragen telah dilaksanakan vaksin dosis dan ser… ","Netral","beempat di pendopo kantor desa plosokerep kecamatan karangmalang kabupaten sragen telah dilaksanakan vaksin dosis dan ser… "
"71",1," kan vaksin peama astrazeneca pas vaksin kedua aku lupa pas ditanya susternya kemarin sinovac ya aku jawab aja iya","Negatif"," kan vaksin peama astrazeneca pas vaksin kedua aku lupa pas ditanya susternya kemarin sinovac ya aku jawab aja iya"
"72",1," kan vaksin peama astrazeneca pas vaksin kedua aku itu lupa pas ditanya susternya kemarin sinovac ya aku jawab aja iya","Negatif"," kan vaksin peama astrazeneca pas vaksin kedua aku itu lupa pas ditanya susternya kemarin sinovac ya aku jawab aja iya"
"73",0,"untuk pendaftaran vaksin sinovac hari kamis oktober di klinik polresta bandung jlbhayangkara soreang si… ","Netral","untuk pendaftaran vaksin sinovac hari kamis oktober di klinik polresta bandung jlbhayangkara soreang si… "
"74",2," vaksin lokal tuh yang dikembangkan drterawan dkk bukan seh vaksin merah putih vaks… ","Netral"," vaksin lokal tuh yang dikembangkan drterawan dkk bukan seh vaksin merah putih vaks… "
"75",1," pakai sinovac efeknya baru pegal bagian yang disuntik sama ngantuk tapi langsung ngefek pegelnya dulu yang vaksin selang sehari gitu","Negatif"," pakai sinovac efeknya baru pegal bagian yang disuntik sama ngantuk tapi langsung ngefek pegelnya dulu yang vaksin selang sehari gitu"
"77",1," baru negara yang menerima pendatang dengan vaksin sinovac kebanyakan negara l… ","Positif"," baru negara yang menerima pendatang dengan vaksin sinovac kebanyakan negara l… "
"78",-1," tapi masih tidak tahu bang itu gimana soalnya singapur termasuk ketat soal pendatang luar apalagi kita m… ","Negatif"," tapi masih tidak tahu bang itu gimana soalnya singapur termasuk ketat soal pendatang luar apalagi kita m… "
"79",1," benar sinovac efeknya tidak keliatan kemarin pas suntik vaksin ast… ","Positif"," benar sinovac efeknya tidak keliatan kemarin pas suntik vaksin ast… "
"80",1,"temen tolong jawab yang udah vaksin ke sinovac kalian ngerasa sakit dada seperti ditekan gitu tidak","Netral","temen tolong jawab yang udah vaksin ke sinovac kalian ngerasa sakit dada seperti ditekan gitu tidak"
"81",1,"“stok vaksin kami cukup bapak stok saat ini tersisa dosis terdiri dari vaksin sinovac dan sinopharm” jawab… ","Positif","“stok vaksin kami cukup bapak stok saat ini tersisa dosis terdiri dari vaksin sinovac dan sinopharm” jawab… "
"82",0,"vaksin sinovac mendaftar orang teregistrasi orang tervaksin … ","Netral","vaksin sinovac mendaftar orang teregistrasi orang tervaksin … "
"83",0," kandano iku cek ndang vaksin sinovac jare","Netral"," kandano iku cek ndang vaksin sinovac jare"
"85",-1," sejauh ini vaksin covid yang mendapat izin penggunaan darurat who hanya pfizerbiontech astrazeneca jampj moderna sinov…","Positif"," sejauh ini vaksin covid yang mendapat izin penggunaan darurat who hanya pfizerbiontech astrazeneca jampj moderna sinov…"
"88",0," kenyataan akhbar kementerian kesihatan malaysia pihak berkuasa kawalan dadah pbkd yang bermesyuarat hari ini memberi…","Netral"," kenyataan akhbar kementerian kesihatan malaysia pihak berkuasa kawalan dadah pbkd yang bermesyuarat hari ini memberi…"
"89",0,"kalauvaksin astrazeneca jeda vaksin keduanya lama banget ade aku kemarin sinovac skrng udah mau vaksin lagi aku yang duluan belum","Positif","kalauvaksin astrazeneca jeda vaksin keduanya lama banget ade aku kemarin sinovac skrng udah mau vaksin lagi aku yang duluan belum"
"90",2,"alhamdulillah serumahan sudah vaksin semua abah pfizer kakak dan istri astrazeneca me sinovac sehat selalu ya ","Positif","alhamdulillah serumahan sudah vaksin semua abah pfizer kakak dan istri astrazeneca me sinovac sehat selalu ya "
"92",2," informasi vaksin bekasi di pos polsek medan satria dari dinas kesehatan lurus sedikit smp tanggal oktober ada vaksin sinov…","Netral"," informasi vaksin bekasi di pos polsek medan satria dari dinas kesehatan lurus sedikit smp tanggal oktober ada vaksin sinov…"
"94",0,"pengumuman vaksinasi dosis kedua sinovac yang akan dilaksanakan di puskesmas pakis tanggal oktober ditund… ","Netral","pengumuman vaksinasi dosis kedua sinovac yang akan dilaksanakan di puskesmas pakis tanggal oktober ditund… "
"95",-1,"informasi vaksin di malang dong dosis ya sinovac makasih buat yang komen gkb","Netral","informasi vaksin di malang dong dosis ya sinovac makasih buat yang komen gkb"
"96",-2," tetangga saya pekan setelah vaksin dosia sinovac mengalami dengkul lemas tidak nafsu makan lanjut mual kalauma…","Negatif"," tetangga saya pekan setelah vaksin dosia sinovac mengalami dengkul lemas tidak nafsu makan lanjut mual kalauma…"
"97",0,"pada hari rabu tanggal oktober pukul wib sd selesai beempat di sama dan namang telah dilaksanakan p… ","Netral","pada hari rabu tanggal oktober pukul wib sd selesai beempat di sama dan namang telah dilaksanakan p… "
"99",2,"goh bak nai dibawa ke pusat pemberian vaksin ppv hospital pakar komuniti ipoh pcsh dengan ditemani ahli keluarg… ","Netral","goh bak nai dibawa ke pusat pemberian vaksin ppv hospital pakar komuniti ipoh pcsh dengan ditemani ahli keluarg… "
"100",-2," tetangga saya pekan setelah vaksin dosia sinovac mengalami dengkul lemas tidak nafsu makan lanjut mual kalaumakan","Negatif"," tetangga saya pekan setelah vaksin dosia sinovac mengalami dengkul lemas tidak nafsu makan lanjut mual kalaumakan"
"101",-1," hah vaksin apa tuh bukan sinovac katanya yang buat remaja kan sinovac kan","Negatif"," hah vaksin apa tuh bukan sinovac katanya yang buat remaja kan sinovac kan"
"102",0," iyaalaahh kalaubeda ntr tubuh kamu yang belum terbiasa sama vaksin sinovac pas dikasih yang beda jenis tmbh ambyarr","Positif"," iyaalaahh kalaubeda ntr tubuh kamu yang belum terbiasa sama vaksin sinovac pas dikasih yang beda jenis tmbh ambyarr"
"103",-1," kalauvaksin peama tuh sinovac vaksin kedua harus sinovac juga kah","Netral"," kalauvaksin peama tuh sinovac vaksin kedua harus sinovac juga kah"
"105",2," goh bak nai dari taman sin far ipoh dibawa ke ppv hospital pakar komuniti ipoh selamat menerima suntikan dosis peama vaksin…","Netral"," goh bak nai dari taman sin far ipoh dibawa ke ppv hospital pakar komuniti ipoh selamat menerima suntikan dosis peama vaksin…"
"107",1,"dari awal anti banget sama vaksin ujungujungnya suruh milih antara sinovac astrazeneca atau moderna pilihan jat… ","Negatif","dari awal anti banget sama vaksin ujungujungnya suruh milih antara sinovac astrazeneca atau moderna pilihan jat… "
"110",1," nder oot tapi adek aku juli vaksin sinovac terus covid juga seperti kamu beberapa minggu lalu udah vaksin k… ","Positif"," nder oot tapi adek aku juli vaksin sinovac terus covid juga seperti kamu beberapa minggu lalu udah vaksin k… "
"111",1,"gratis vaksin sinovac moderna pfizer untuk ibu hamil ","Positif","gratis vaksin sinovac moderna pfizer untuk ibu hamil "
"113",0," hello kenapa nd dose adik saya diubah dari bacc ke kakak ampang ya adakah bacc sudah jadi tempat khas vaksin… ","Netral"," hello kenapa nd dose adik saya diubah dari bacc ke kakak ampang ya adakah bacc sudah jadi tempat khas vaksin… "
"114",1,"mukomuko terima tambahan dosis vaksin sinovac antara news bengkulu ","Positif","mukomuko terima tambahan dosis vaksin sinovac antara news bengkulu "
"115",1,"goh bak nai yang tinggal di taman sin far di dekat sini dibawa ke pusat pemberian vaksin ppv hospital pakar komu… ","Netral","goh bak nai yang tinggal di taman sin far di dekat sini dibawa ke pusat pemberian vaksin ppv hospital pakar komu… "
"117",1,"alhamdulillah aku udah di suntik vaksin sinovac dosis peama ","Positif","alhamdulillah aku udah di suntik vaksin sinovac dosis peama "
"118",-1," vaksin sinovac seharusnya sinopharm tapi kata petugasnya sinopharm udah dibawa puskesmas jadinya sinovac","Netral"," vaksin sinovac seharusnya sinopharm tapi kata petugasnya sinopharm udah dibawa puskesmas jadinya sinovac"
"119",1,"sudah vaksin sinovac kali dan tidak ada efek samping samsek i guess i could call myself lucky tapi parno juga berasa seperti tidak vaksin","Positif","sudah vaksin sinovac kali dan tidak ada efek samping samsek i guess i could call myself lucky tapi parno juga berasa seperti tidak vaksin"
"120",0,"ayo intip perbedaan vaksin astrazeneca dan sinovac ","Netral","ayo intip perbedaan vaksin astrazeneca dan sinovac "
"121",1,"menerusi analisis aefi terhadap juta vaksin menunjukkan secara keseluruhannya mempunyai profil keselama… ","Positif","menerusi analisis aefi terhadap juta vaksin menunjukkan secara keseluruhannya mempunyai profil keselama… "
"122",0,"warga singapura ramairamai pilih sinovac dan sinopharm untuk vaksin booster ","Positif","warga singapura ramairamai pilih sinovac dan sinopharm untuk vaksin booster "
"124",0,"sdf rek informasi vaksin dosis sinovac area waru dan sekitarnya","Netral","sdf rek informasi vaksin dosis sinovac area waru dan sekitarnya"
"125",-2,"enggak usah banyak bacot aslinya gua ini ultramentapi gara gara di vaksin sinovac aja jadi kekuatan gua hilang ","Negatif","enggak usah banyak bacot aslinya gua ini ultramentapi gara gara di vaksin sinovac aja jadi kekuatan gua hilang "
"126",0,"untuk yang sinovac paling murah siapkan ro per orang dalam keluarga yang vaksin setiap bulan pandemi masi… ","Positif","untuk yang sinovac paling murah siapkan ro per orang dalam keluarga yang vaksin setiap bulan pandemi masi… "
"127",2,"goh bak nai dari taman sin far ipoh dibawa ke ppv hospital pakar komuniti ipoh selamat menerima suntikan dosis pea… ","Netral","goh bak nai dari taman sin far ipoh dibawa ke ppv hospital pakar komuniti ipoh selamat menerima suntikan dosis pea… "
"129",0,"yaallah mau nonton konser tapi kemarin vaksin sinovac","Negatif","yaallah mau nonton konser tapi kemarin vaksin sinovac"
"130",0," pelayanan vaksinasi dosis sinovac di kantor unit laka satlantas jalan inspeksi kalimalang wangunharja …","Netral"," pelayanan vaksinasi dosis sinovac di kantor unit laka satlantas jalan inspeksi kalimalang wangunharja …"
"135",0," pelayanan vaksinasi dosis sinovac di kantor unit laka satlantas jalan inspeksi kalimalang wangunharj… ","Netral"," pelayanan vaksinasi dosis sinovac di kantor unit laka satlantas jalan inspeksi kalimalang wangunharj… "
"136",3," syukur alhamdulillah kalau udah membaik emang baiknya banyak istirahat kalau abis vaksin apalagi kalau ada… ","Positif"," syukur alhamdulillah kalau udah membaik emang baiknya banyak istirahat kalau abis vaksin apalagi kalau ada… "
"137",2,"pelaksanaan vaksinasi kodim pati jenis vaksin sinovac di puskesmas tambakromo jumlah sasaran vaksin i atau… ","Netral","pelaksanaan vaksinasi kodim pati jenis vaksin sinovac di puskesmas tambakromo jumlah sasaran vaksin i atau… "
"138",0,"kedatangan vaksin sinovac di bandara intl supadio dari jakaa untuk di bawa menuju gudang dinkes propinsi kalbar… ","Netral","kedatangan vaksin sinovac di bandara intl supadio dari jakaa untuk di bawa menuju gudang dinkes propinsi kalbar… "
"139",2," pesea dosis harus melebihi hari setelah menerima dosis sinovaccoronavac yaitu maksimal tanggal sep… ","Netral"," pesea dosis harus melebihi hari setelah menerima dosis sinovaccoronavac yaitu maksimal tanggal sep… "
"141",-1,"komando distrik militer sleman bekerjasama dengan aparat terkait dan stakeholder kembali melaksanakan serbuan… ","Positif","komando distrik militer sleman bekerjasama dengan aparat terkait dan stakeholder kembali melaksanakan serbuan… "
"142",1,"anggota polsek babelan melaksanakan pengamanan kegiatan program vaksinasi merdeka berani gerai di wilayah polsek… ","Positif","anggota polsek babelan melaksanakan pengamanan kegiatan program vaksinasi merdeka berani gerai di wilayah polsek… "
"143",2,"warga pojok antusias ikuti vaksin babinsa koramil pulokulon serda zainudin bersama bhabinkamtibmas monitoring v… ","Positif","warga pojok antusias ikuti vaksin babinsa koramil pulokulon serda zainudin bersama bhabinkamtibmas monitoring v… "
"144",1,"nih pas lagi nganter anakku vaksin bbrp waktu yang lalu dia dapat pfizer sedang saya astrazeneca suami sinovac alhamdul… ","Positif","nih pas lagi nganter anakku vaksin bbrp waktu yang lalu dia dapat pfizer sedang saya astrazeneca suami sinovac alhamdul… "
"146",-3," hahaha salah judul ini mah jelas di awal pemerintah cuma sediain sinovac jadi ya mau tidak mau ya pakai sinovac ibarat h…","Negatif"," hahaha salah judul ini mah jelas di awal pemerintah cuma sediain sinovac jadi ya mau tidak mau ya pakai sinovac ibarat h…"
"147",0," aku dapetnya sinovac beda vaksin sih","Netral"," aku dapetnya sinovac beda vaksin sih"
"149",1,"informasi vaksin bekasi puskemas margajaya sebelah pengadilan agama ada vaksin pfizer dosis dan sinovac d… ","Netral","informasi vaksin bekasi puskemas margajaya sebelah pengadilan agama ada vaksin pfizer dosis dan sinovac d… "
"151",-2," hasil gambar kandungan dari vaksin sinovac yang udah di zoom berupa virus berbentuk gurita yang mematikan","Negatif"," hasil gambar kandungan dari vaksin sinovac yang udah di zoom berupa virus berbentuk gurita yang mematikan"
"152",0,"yang ais yang lain dikasih vaksin kebal koped kalaulisa mah pakenya sinovac makanya cuma lisa doang yang dilarang… ","Negatif","yang ais yang lain dikasih vaksin kebal koped kalaulisa mah pakenya sinovac makanya cuma lisa doang yang dilarang… "
"153",-2,"aku masuk dalam category no vaccine pergh sedih marah … ","Negatif","aku masuk dalam category no vaccine pergh sedih marah … "
"154",1,"batituud koramil kradenan pelda supriyanto bersama anggota monitoring serbuan vaksinasi kodam ivdiponegoro di w… ","Netral","batituud koramil kradenan pelda supriyanto bersama anggota monitoring serbuan vaksinasi kodam ivdiponegoro di w… "
"155",2,"pengen nya vaksin moderna pas datang taunya sinovac ya sudah lah jalani saja yang penting sehat ","Positif","pengen nya vaksin moderna pas datang taunya sinovac ya sudah lah jalani saja yang penting sehat "
"156",1," bang bon saya di april belum vaksin hasil dan juli sudah vaksin kali sinovac hasil mea… ","Positif"," bang bon saya di april belum vaksin hasil dan juli sudah vaksin kali sinovac hasil mea… "
"157",1," warga kabupaten bandung ayo divaksin ikuti vaksinasi massal yang diselenggarakan oleh pemerintah kabupaten bandung…","Positif"," warga kabupaten bandung ayo divaksin ikuti vaksinasi massal yang diselenggarakan oleh pemerintah kabupaten bandung…"
"159",1,"warga geyer vaksin dosis babinsa koramil gundih serda kenang bersama kades dan perangkat desa geyer monitorin… ","Netral","warga geyer vaksin dosis babinsa koramil gundih serda kenang bersama kades dan perangkat desa geyer monitorin… "
"160",1," ternyata ke aussie juga harus vaksin kak jadi bukan cuma mau meninggalkan indonesia saja syarat vaksin …","Netral"," ternyata ke aussie juga harus vaksin kak jadi bukan cuma mau meninggalkan indonesia saja syarat vaksin …"
"161",1," sinovac bukan vaksin dosis besar padahal tapi pegal banget ini tangan yang vaksin peama tidak se pegal ini","Negatif"," sinovac bukan vaksin dosis besar padahal tapi pegal banget ini tangan yang vaksin peama tidak se pegal ini"
"162",-1,"akhirnya vaksin juga habis covid belum genap bulan tapi gapapa ternyata karawang yang available sinovac yowis se… ","Positif","akhirnya vaksin juga habis covid belum genap bulan tapi gapapa ternyata karawang yang available sinovac yowis se… "
"163",-2," rumah sakit drm hassan toto infonya vaksin atau dengan jenis moderna atau sinovac","Netral"," rumah sakit drm hassan toto infonya vaksin atau dengan jenis moderna atau sinovac"
"164",0," aku udah vaksin sinovac","Positif"," aku udah vaksin sinovac"
"165",1," mungkin masih ada yang belum vaksin rek bisa vaksin dosis atau vaksin dosis sinovac mulai umur keatas …","Netral"," mungkin masih ada yang belum vaksin rek bisa vaksin dosis atau vaksin dosis sinovac mulai umur keatas …"
"166",0," beugas di l titiwangsa sebagai pegawai stesen muhammad nor afiq bin budin yang merupakan petugas barisan hadapan telah…","Netral"," beugas di l titiwangsa sebagai pegawai stesen muhammad nor afiq bin budin yang merupakan petugas barisan hadapan telah…"
"171",3,"mau jenis vaksin sinovac sampai moderna semua jenis vaksin sudah terbukti aman dan membantu kekebalan tubuh untuk… ","Positif","mau jenis vaksin sinovac sampai moderna semua jenis vaksin sudah terbukti aman dan membantu kekebalan tubuh untuk… "
"172",0,"pendistribusian vaksin sinovac dikawal babinsa ","Positif","pendistribusian vaksin sinovac dikawal babinsa "
