"","X","klasifikasi","x"
"27",1451,"Netral","halo depok citayem raya informasi vaksin sinovac banget citayam center lgsg cus"
"28",1198,"Positif","mesyuarat kuasa kawal dadah kelulus syarat guna vaksin keluar sinovac remaja be"
"29",509,"Negatif","serius sinovac efek ringan pkm cobak ngadain vak"
"30",103,"Negatif","kalauvaksin ama sinovac vaksin sinovac kah"
"31",542,"Negatif","bahan utama vaksin sinovac dna babi serum bayi belum lahir hidup d"
"32",236,"Netral","jangan ngaku kuat yen vaksin mu iseh sinovac"
"33",421,"Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sin"
"34",633,"Negatif","halo barangkali admin followersnya informasi vaksin dosis sinovac uin malang tunda"
"35",1058,"Netral","sinovac suruh vaksin dokter nya"
"36",583,"Netral","ayo massal jenis vaksin sinovac"
"37",666,"Netral","tante udah tidak vaksin kesel banget udah gapapa mumpung sinovac pakai alesan bany"
"38",32,"Positif","kabar vaksin sinovac vaksin sinovac dosis bukti hasil antibodi menetralisir varian"
"39",84,"Positif","terusi analisis aefi juta vaksin profil selamat ba"
"40",404,"Positif","vaksin moderna tidak pilih sinovac pfizer astrazeneca booster vaksin covid a"
"41",960,"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"42",1284,"Netral","uaf teman mana vaksin sinovac"
"43",1165,"Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca"
"44",973,"Negatif","iki asline power ranger pinkgra vaksin sinovac kuat q ilang"
"45",624,"Netral","mjb iya rencana jepang lanjur vaksin sinovac bing"
"46",1371,"Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"47",165,"Positif","belum vaksin rek vaksin dosis vaksin dosis sinovac umur atas"
"48",764,"Netral","vaksin sinovac telah positif covid sembuh"
"49",1072,"Netral","gapapa jarak vaksin at least sinovac jarak"
"50",751,"Positif","dosis vaksin sinovac vaksinasi tahap i i ajar mukomuko besok"
"51",795,"Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia bawa foto"
"52",852,"Positif","vaksin sinovac aman aman ajaa badan vaksin moderna astagaaaaa tidak deh ampun bgtt sakitnyaaa"
"53",219,"Netral","wkwkw vaksin sinovac"
"54",1128,"Netral","efek vaksin sinovac rasa ngantukan ttapi k ngantukan in"
"55",133,"Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk"
"56",723,"Netral","gantung vaksin nder sinovac vaksin tidak efek"
"57",914,"Netral","mohon tunggu balas whatsapp panitia kait kak in"
"58",85,"Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moderna sinov"
"59",951,"Netral","asma vaksin pakai sinovac sihh kali"
"60",570,"Netral","naahhh mksdnya iya dok bahan"
"61",216,"Netral","vaksin sinovac astrazeneca"
"62",1037,"Positif","vaksin kali kena c word gejala ringan untung pas pakai vaksin sinovac gampang l"
"63",416,"Positif","belum vaksin covid sedia indonesia anak jubir vaksinasi covi"
"64",936,"Netral","wuahahaahah ama vaksin moderna wkwkwkwk kirain sinovac"
"65",88,"Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat"
"66",201,"Positif","dips vaksin dosis coronavacsinovac disemarang ktp semarang tidak lihat web victori mar"
"67",692,"Negatif","alhamdulillah busui udah lengkap dosis vaksin sinovac gin nda keran"
"68",184,"Negatif","besok juta hari rutin dapat sinovac tidak hati"
"69",796,"Netral","vaksin mung sinovac sok kemlinthi le"
"70",187,"Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh ka"
"71",253,"Negatif","vaksin sinovac panggil"
"72",527,"Positif","gerai vaksin sinovac warga masyarakat lurah ciketing udik camat bantargebang kota bekas"
"73",1431,"Negatif","ciputra world jadwal sinovac"
"74",526,"Positif","juta dosis vaksin remaja lingkung usia china pharmaniaga"
"75",842,"Netral","malaysia lapor kelulus syarat vaksin covid keluar biotech ltd china guna"
"76",1164,"Positif","baik vaksin lengkap negara arab saudi terima vaksin sinovac"
"77",933,"Netral","sdf informasi vaksin sinovac dosis rek gawe mene"
"78",1157,"Negatif","feeling engkuk masuk kabupaten s iki ng malang"
"79",1099,"Netral","cah informasi vaksin sinovac dosis makasih"
"80",1302,"Positif","ajar smp kabupaten pasuruan terima suntik vaksin sinovac"
"81",579,"Negatif","cek peduli lindung pke vaksin sinovac a"
"82",628,"Positif","efek vaksin sinovac laper tidak laper capek ngantuk doang"
"83",510,"Netral","tanyaaa vaksin astrazeneca seifikatnya sinovac"
"84",1228,"Positif","menteri kesihatan malaysia kkm bersetuju kelulus syarat guna vaksin coronavac k"
"85",1404,"Positif","ayo ayo belum vaksin vaksin pfizer dosis sinovac dosis tol jagorawi rest area pe"
"86",1407,"Positif","wahh moga keluarga sehat keluarga alhamdulill"
"87",1366,"Netral","via vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"88",42,"Negatif","st panel pn kaji teknologi sptotnya pakai virus btol mrna comes from dna copy of vir"
"89",1218,"Netral","adik adik jangan takut ambil vaksin kena gigit semut je"
"90",104,"Netral","ayo vaksin astrazeneca dosis sinovac dosis biddokkes polda kepri kepri mall"
"91",595,"Negatif","asik q gaib ngelurusin bukan neger nya but dipeanyakan"
"92",306,"Positif","salah multiple allergies proceed nak vaksin pilih doktor na"
"93",134,"Negatif","vaksinasi dosis drive thru fk kmk ugm gelar sleman komando distrik militer sleman b"
"94",1025,"Positif","vaksin sinovac gratis ampminggu vihara avalokiteswara kelbanten keckasemen kota serang"
"95",1095,"Netral","adekku tim sinovac abis vaksin langsung nyuci piring jemur baju tidak asa"
"96",429,"Netral","kerja vaksin sinovac"
"97",1324,"Netral","hahahah bokap lucu banget en vaksin sinovac moderna katane nyg ash remaja ueueueu gemeshh"
"98",388,"Netral","vaksin ama dosis jenis sinovac"
"99",1143,"Netral","uda vaksin sinovac kali booster pakai moderna"
"100",1036,"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin indonesia ruji keamanann"
"101",1426,"Positif","jog vaksin gratis bawa fc ktp jenis sinovac"
"102",1022,"Negatif","informasi vaksin covid massal bogor polsek caringin pakai sinovac dosis masyarakat"
"103",61,"Negatif","eh serius mikirin biaya sgmalaythai the most impoant thing mikir vaksinnnnn"
"104",1207,"Positif","u budiw babinsa koramil kemiri damping suntik vaksin sinovac tenaga sehat"
"105",333,"Netral","abis vaksin pegal ngantuk doang sih malemnya ngomong ngomong sinovac dapetnya"
"106",1288,"Netral","vaksin seling gaboleh kayak dosis sinovac dosis astrazeneca zeneca"
"107",1293,"Negatif","anw vaksin ama pegal lebam cuy sinovac"
"108",1480,"Netral","udah sih full vaksin sinovac"
"109",586,"Netral","ins besok jadwal vaksinasi covid masyarakat jenis vaksin"
"110",532,"Netral","reposted from vaksinasi covid dosis laksana keluarga gawai l"
"111",443,"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ilang"
"112",1434,"Netral","polres madiun gelar serbu vaksinasi covid dosis vaksin sinovac sip masyarakat b"
"113",645,"Positif","keluarga terima vaksin sinovac temanteman banyak astrazeneca dap"
"114",263,"Positif","wamenkes datang vaksin janssen sinovac dukung cepat vaksinasi nasional"
"115",3,"Netral","sd selesai serka joko waliman babinsa ds bendo koramil sukodono lakgiat pendampin"
"116",112,"Netral","jenis vaksin sinovac astrazeneca moderna"
"117",497,"Netral","bisa vaksin ama sinovac astrazeneca"
"118",896,"Positif","vaksin sinopharm sinovac teh tidak lihat google beda inget pas vaksin nakes bilang sinovac"
"119",965,"Positif","even lepas tamadun china kaedah virolasi hasil vaksin kaedah dorn"
"120",189,"Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac"
"121",1017,"Positif","mjb pacar asma slesai vaksin dosis pakai vaksin sinovac alhamdu"
"122",176,"Positif","serbu vaksin sinovac dosis desa sumberejo mranggen tembus target vaksin"
"123",639,"Negatif","asline powerrenjes mergo bar vaksin sinovac kuat ilang"
"124",514,"Positif","pahit manis ppv integrasi idcc shah alam beri vaksinasi samada vaksin astrazeneca sinov"
"125",828,"Positif","piem mail negara tuju terima rakyat lengkap vaksin sinovac awak terminal"
"126",833,"Positif","ayo hadir gerai vaksin tni polri laksana w"
"127",395,"Positif","kapolsek jatibarang forkopimcam monitoring laksana vaksinasi dosis i mts assysyafiiyah"
"128",749,"Netral","om vaksin sinovac mana"
"129",1023,"Negatif","guna vaksin sinovac golong remaja umur benar ketua arah kesihatan"
"130",403,"Positif","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sino"
"131",17,"Negatif","vaksin sinovac balas tolong tangerang"
"132",183,"Positif","pemerintah upaya sedia vaksin baik skema multilateral bilateral cukup"
"133",673,"Negatif","ketua riset uji klinis sinovac bandung prof kusnandi ungkap efikasi vaksin sinovac kurang"
"134",1323,"Negatif","vaksin sinovac positif masuk rumah sakit"
"135",563,"Positif","giat vaksinasi tahap vaksin jenis pfizer puskesmas kedungwaringin bripka rifai lantas himbau warga"
"136",368,"Positif","syukur keluarga vaksin sinovaccoronavac vaxzevria moderna moga paring sehat kabeh"
"137",1227,"Positif","vaksin sinovac china indonesia vaksin sinopal"
"138",424,"Negatif","charm vaksin sinovac rmupah lebar ring lebar berat tidak tidak tidak tidak tidak tidak tidak"
"139",1194,"Netral","udah tetangga update vaksin sedia puskesmas dekat rumah sinovac"
"140",1127,"Positif","vaksin ve sinovac aman"
"141",29,"Negatif","informasi vaksin sinovac dosis malang"
"142",43,"Netral","lihat balas bilang sakit jujur tidak baik banget dri ama s"
"143",279,"Positif","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"144",1013,"Positif","laksana vaksinasi massal dosis dosis vaksin sinovac gerai vaksin presisi polres brebes masuk"
"145",451,"Negatif","gapapa vaksin sinovac"
"146",617,"Netral","jika"
"147",1269,"Netral","aing vaksin ci nya sinovac"
"148",746,"Positif","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca h"
"149",245,"Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak teera"
"150",1415,"Negatif","negara mula keluar vaksin covid bangun sinovac"
"151",1320,"Negatif","yahhh ku sinovac vaksin sinovac pergi ln vaksin bukan sinovac"
"152",575,"Positif","juta dosis vaksin rakyat china umur"
"153",1155,"Positif","tidak perluuuu kalauvaksin bawa ktp vaksin jenis vaksin sinovac"
"154",1226,"Netral","informasi vaksin sinovac pfizer bogor puskesmas ciseeng dosis kuota"
"155",452,"Netral","jadwal daftar pesea vaksin sinovac polres magelang"
"156",228,"Netral","indonesia datang juta dosis vaksin sinovac bentuk"
"157",636,"Positif","vaksin sinovac sih gejala ngantuk doang laperan"
"158",206,"Netral","aussie vaksin kak bukan tinggal indonesia syarat"
"159",192,"Netral","gantung vaksin e ndra dapet sinovac dapet booster dosis pakai mod"
"160",503,"Positif","bhabinkamtibmas kalurahan ngawu bripka prima damping kanit provost aiptu parjiman pemantauan vaksinasi upt"
"161",906,"Netral","rapopo vaksin sinovac timbang astrazeneca honda motor opo moderna modarne"
"162",706,"Netral","vaksin nya jenis sinovac"
"163",326,"Netral","keluarga beda merk vaksin sinovac adek pfizer astrazeneca kakak moderna semu"
"164",79,"Positif","benar sinovac efek tidak liat pas suntik vaksin ast"
"165",268,"Netral","w dapetnya sinovac vaksin banget emang salah muluu heran"
"166",904,"Positif","akuu vaksin sinovac alhamdulillah udah vaksin kali gapapa pas selesai vaksin tidak gejala aneh apa"
"167",204,"Netral","pas vaksin mba kemeng sinovac biru"
"168",1435,"Positif","alhamdulillah vaksin ama petugasanya kipi pasca vaksin tidak vaksin sinovac kip"
"169",885,"Netral","wibpolresta bandara soetta jajar tni stakeholder laksana"
"170",455,"Negatif","vaksin sinovac ngantuk pegal demam"
"171",1001,"Netral","mjb ka kalauada dokter bilang gaboleh vaksin tiga wkwk dosis sinovac tidak jelas"
"172",968,"Negatif","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilita"
"173",139,"Positif","pesea dosis lebih terima dosis sinovaccoronavac maksimal sep"
"174",1213,"Positif","ayo hadir gerai vaksin tni polri laksana"
"175",1192,"Negatif","imunisasi covid guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga life"
"176",756,"Positif","iya vaksin seko sih and tidak kasi vaksin sinovac maybe gtw deh"
"177",1470,"Netral","vaksin mana vaksin mana wkwk nasib veteran covid nyari sinovac dosis susah"
"178",650,"Netral","butuh vaksin kota padang moderna sinovac pfizer tinggal daftar"
"179",807,"Netral","bahan vaksin sinovac"
"180",950,"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas"
"181",1274,"Positif","siswa smk islam jumo vaksin dosis babinsa koramil kedungjati u sugiyanto bhabinkamtibmas monitor"
"182",1011,"Negatif","iyaa gapaham kek nya bengkak hijau vaksin sinovac"
"183",226,"Positif","gapaapaaa sinovac santai badan fit pas vaksin tidak flu gaenak bad"
"184",719,"Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"185",902,"Netral","sinovac vaksin pupuk bawang alias santuy"
"186",1205,"Netral","sik vaksin sinovac rasah kancani"
"187",345,"Positif","ayo hadir gerai vaksin tni polri laksana"
"188",1403,"Netral","ciputra world surabaya vaksin sinovac"
"189",1086,"Positif","mama asma vaksin kak mending vaksin sinovac ringan moderna"
"190",907,"Netral","riwayat asma puskesmas ditanyain terkahir kambuh vaksin"
"191",616,"Negatif","habis dosis sinovac alergi kambuh takut vaksin booster"
"192",1197,"Netral","jangan lupa ambil vaksin adikadik"
"193",1181,"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silahka"
"194",1055,"Positif","sih sinovac vaksin ama vaksin dosis ama k"
"195",1248,"Netral","awal vaksin covid personil satlantas polres ngada laksana aman awal vial vaksin"
"196",1225,"Positif","pfizer vaksin utama program pick remaja vaksin sinovac ditawarkan re"
"197",1098,"Positif","h terbang medanbatam syarat vaksin kali sinovac booster moderna terima kasih"
"198",1414,"Negatif","imunogenisitas vaksin sinovac turun persen ama kali suntik"
"199",1291,"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"200",877,"Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan sumber kementeria"
"201",1301,"Netral","kanggo kancakanca brebes l sekitare laksana"
"202",992,"Netral","tolak mencret tki umroh pakai vaksin sinovac"
"203",1241,"Netral","kkm lulus guna vaksin keluar sinovac remaja"
"204",1211,"Positif","teman teman tugas wawancara kriteria belum vaksin sinovac"
"205",663,"Positif","vaksin vaksin sinovac alhamdulillah sehat sehat"
"206",385,"Negatif","alergi berat hipeensi kolesterol alhamdulillah vaksin sinovac lengkap baik skr"
"207",1189,"Positif","insya allah aman rey abis vaksin sinovac reakainya ngantuk banget laperan banget"
"208",125,"Negatif","bacot asli ultramentapi gara gara vaksin sinovac kuat hilang"
"209",1246,"Positif","sdf informasi vaksin sinovac rek vaksin soale belum jelas hikd"
"210",44,"Netral","asline kuat boboboiy bar suntik vaksin sinovac winggi kuat dadi ilang kabeh"
"211",1137,"Positif","untumg tidak vaksin info sinovac tidak maren badan tidak fit"
"212",409,"Positif","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"213",1449,"Negatif","mimpi dapet vaksin booster kasih sinovac bilang gamau disunt"
"214",1069,"Netral","sinovac aman pas moderna abis sakit tidak vaksin pas vaksin sinovac in"
"215",956,"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas"
"216",1212,"Netral","guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga lifesciences sdn bhd ma"
"217",1235,"Positif","kini bersetuju kelulus syarat guna vaksin keluar sinovac life scie"
"218",466,"Positif","kalausinovac jarak nder vaksin surat ditul"
"219",840,"Positif","jujur nder vaksin sinovac tidak efek apa kaya ngerasa laper kalausampe d"
"220",414,"Netral","takpe vaksin sinovac campur pfizer"
"221",1335,"Positif","informasi vaksin sinovac dosis kabupaten tangerang vaksin presisi gor bonang udah tidak huhu"
"222",1158,"Netral","vaksin semarang jenis sinovac"
"223",757,"Netral","ngomong ngomong vaksin re vaksin sinovac efek parah sempet sek nafas mnt"
"224",1315,"Negatif","efek moderna kalausinovac vaksin moderna syarat pergi neger sinovac"
"225",606,"Positif","sinovac ngefek banget gamau vaksin tuntut vaksin mobilitas tidak vaks"
"226",1185,"Positif","kkm bersetuju kelulus syarat guna vaksin coronavac keluar sinovac life scienc"
"227",741,"Negatif","sinovac udah akuin who fega belanda diakuin maslahnya seifikat vak"
"228",574,"Netral","luas populasi kategori umur china tidak rekod makl"
"229",196,"Positif","belum vaksin rek vaksin dosis vaksin dosis sinovac umur atas"
"230",271,"Positif","datang juta dosis vaksin sinovac pemerintah pasti stok vaksin aman"
"231",1452,"Netral","republik rakyat china rrc sumbang juta dosis vaksin sinovac tambah malaysia menteri"
"232",1136,"Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"233",689,"Netral","kader pks vaksin camat koto ta­ngah sedia dosis vaksin sinovac moderna"
"234",155,"Positif","en nya vaksin moderna pas tau sinovac jalan sehat"
"235",1253,"Netral","jenis vaksin sinovac sinopharm"
"236",814,"Positif","studi turki vaksin booster pfizer hasil lindung sinovac"
"237",35,"Netral","tinggal merah putih vaksin sinovac kak"
"238",856,"Positif","kalauyg sinovac vaksin tidak sih moderna nakes"
"239",1026,"Negatif","mjb kak ayah nya riwayat darah aman pakai sinovac after effect nya soalny"
"240",817,"Netral","vaksin sinovac sih"
"241",302,"Netral","hahahahsha malass hasut mak vaksin elok pilih sinovac je nak"
"242",923,"Negatif","rasah kokean ngece asline ki kuat bar vaksin sinovac kuat ilang"
"243",1308,"Netral","wkwkwkwkkw manifest nuker vaksin sinovac sianjing"
"244",836,"Positif","ayo hadir gerai vaksin tni polri laksana w"
"245",1133,"Netral","anak laki th ponpes ekselencia parung cuman nyata positif antigen"
"246",445,"Netral","ayo massal jenis vaksin sinovac"
"247",622,"Positif","spore orang rela bayar vaksin sinovac pfizer moderna pemerintah"
"248",738,"Negatif","kalauvaksin astrazeneca neger kalausinovac belum mas"
"249",266,"Positif","strategi tahap vaksin tanah air pakai sinovac kaya sinovac minim efek samping"
"250",1278,"Netral","sinovac yakkum bareng lansia gara otg nunggu informasi baru kalauskrg positif"
"251",685,"Positif","jakaa moderna pfizer sentra vaksin nunggu moderna kar"
"252",1339,"Positif","data tahan sinovac vaksin belum umum terima vaksin"
"253",1433,"Negatif","sing ngomong nek jangan sok kuat nek paksin nggo sinovac kuwi cangkemee sing ra iso syukur wes nehi vaks"
"254",30,"Negatif","rausah kakean polah asline iki ultraman mergo vaksin sinovac kuat ilang"
"255",811,"Positif","pemerintah stok vaksin covid produsen vaksin beli pem"
"256",325,"Positif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"257",362,"Netral","iya syarat masuk perancis deh kayak vaksin sinovac tidak berlaku pe"
"258",93,"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"259",727,"Positif","pakai vaksin sinovac tidak aku fully vaccinated"
"260",678,"Negatif","tbh glad tidak sinovac gapapa keras efek rada gila banyak baca poal negara"
"261",919,"Positif","giat vaksinasi keluarga its masyarakat berlaku warga negara indonesia"
"262",974,"Positif","haha en gituu dapetnya sinovac gapapalah vaksin astrii"
"263",790,"Netral","kak nis dapet vaksin sinovac"
"264",1089,"Negatif","rasain pas vaksin sinovac nyeri memar"
"265",1463,"Negatif","hallo sobat polri polres lampung buka gerai vaksin presisi tahap i i sinovac"
"266",181,"Netral","pas nganter anak vaksin bbrp pfizer astrazeneca suami sinovac alhamdul"
"267",1221,"Positif","situbondo gencar semangat serbu vaksinasi covid dosis kodim situbondo jenis vaksin"
"268",544,"Netral","jbrfess informasi vaksin sinovac dosis jember gais"
"269",163,"Negatif","rumah sakit drm hassan toto info vaksin jenis moderna sinovac"
"270",737,"Negatif","vaksin kali pas tidak sinovac tidak hehe"
"271",352,"Positif","kalaudari sedia biofarma produksi udah beli biang vaksin coldchain tidak"
"272",1060,"Positif","yeay terima vaksin sinovac masuk australia baca lengkap"
"273",1280,"Negatif","informasi vaksin covid bogor puskesmas caringin pakai sinovac pfizer kuota"
"274",75,"Positif","pakai sinovac efek pegal suntik ngantuk langsung ngefek gel vaksin selang hari"
"275",572,"Positif","vaksin vaksin sinovac alhamdulillah ngantuk laper kipinya"
"276",1161,"Positif","australia izin vaksin sinovac covishield syarat masuk a jalan internasional"
"277",96,"Negatif","tetangga pekan vaksin dosia sinovac alami dengkul lemas tidak nafsu makan mual kalauma"
"278",159,"Positif","warga geyer vaksin dosis babinsa koramil gundih serda kenang kades angkat desa geyer monitorin"
"279",295,"Negatif","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"280",792,"Netral","besok adaa jadwal vaksin covid jenis vaksin astrazeneca sinovac beempat puskesmas sukagum"
"281",1275,"Netral","vaksin sinovac kurang lampau butuh booster kah malaysia mel"
"282",1245,"Netral","australia buka perbatasanpenerbangan internasional vaksin sinovac masuk oz kabar"
"283",273,"Negatif","wkwk sumpah sok keren banget dapet vaksin sinovac konsultasi dokter sakit bawaa"
"284",1034,"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih nusantara"
"285",505,"Negatif","kalaudi tempat emang banyak sinovac moderna kali diadain massal"
"286",449,"Negatif","sleman komando distrik militer sleman bekerjasama aparat kait stakeholder melaksanak"
"287",213,"Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat wni foto copy ktpkiakk"
"288",380,"Negatif","vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis syarat jad"
"289",257,"Positif","teman mohon informasi ibu butuh vaksin vaksin ama sinovac perintah dokter"
"290",1206,"Negatif","menteri kesihatan malaysia kkm lulus guna coronavac keluar sinovac life science"
"291",816,"Netral","tutup wkwk coba samping lombok abang cimuning tidak lombok abang pato"
"292",123,"Netral","sinovac murah siap ro orang keluarga vaksin pandemi"
"293",846,"Netral","aneh orang tu mah en nya pfizer astrazeneca moderna tap"
"294",1004,"Positif","jbrfess informasi vaksin laksana kodim balai desa sukorambi sasar lansi"
"295",467,"Netral","dapetnya vaksin sinovac astrazeneca"
"296",1374,"Positif","sasar vaksin dosis hari bhabinkamtibmas desa jatireja paping baping a relawan mela"
"297",154,"Positif","batituud koramil kradenan pelda supriyanto anggota monitoring serbu vaksinasi kodam ivdiponegoro w"
"298",759,"Positif","sinovac walopun en vaksin kaya"
"299",303,"Positif","vaksin sinovac vaksin pas vaksin massal bagi kaga bi"
"300",1330,"Netral","asma tidak vaksin sinovac kah"
"301",940,"Positif","wakil walikota banjarmasin h arifin noor tinjau program vaksinasi covid neger bjm vaksinasi h"
"302",25,"Negatif","orang nyebar palsu suntik vaksin covid sinovac kali sekolah alhamdulillah sehat pei"
"303",304,"Positif","vaksin sinovac dosis ama gapapa vaksin"
"304",576,"Positif","transma yasmin bogor polresta bogor kota adakan vaksinasi massal usia"
"305",679,"Negatif","benar sih kakak vaksin sinovac ngeri tetangga dapet astrazeneca mual parah"
"306",494,"Positif","takut suntik inovasi vaksin plester solusi"
"307",292,"Negatif","isteri covid lepas terima dosis sinovac bulan belu"
"308",126,"Netral","sinovac murah siap ro orang keluarga vaksin pandemi mas"
"309",267,"Positif","bukti eksperimen bluetooth hubung vaksin vaksin bluetooth suppo tidak vaksin afiliasi bluetoo"
"310",74,"Positif","vaksin lokal kembang drterawan dkk bukan seh vaksin merah putih vaks"
"311",1312,"Positif","kalaubelom vaksin pilih vaksin pilih pfizer tau effectivity r"
"312",626,"Positif","transma yasmin bogor polresta bogor kota adakan vaksinasi massal usia a"
"313",439,"Negatif","butuh tolong kat area pj available vaksin sinovac aritu trpaksa cancel nd dose sbb ve covid"
"314",821,"Netral","cari vaksin booster ou sih mreka dapet sinovac bayar tidak deh"
"315",277,"Positif","kabupaten pasuruan sasar serbu vaksinasi tni dosis vaksin sinovac"
"316",300,"Negatif","nek iseh vaksin sinovac rasah sok kerass"
"317",158,"Positif","puri nder vaksin jenis vaksin pfizer sinovac moderna"
"318",1124,"Negatif","sinovac remaja benar kp kesihatan"
"319",1251,"Positif","kmpanye hrus vaksin unjung pngadaan untung lgsitu tim riset marketingnya sinovac"
"320",604,"Positif","yapsss banget sempet mikir kaya gin sinovac minim banget reaksi trutama l"
"321",309,"Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"322",722,"Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"323",690,"Positif","vaksin indonesia baik astrazeneca sinovac dll tahap klinis m"
"324",962,"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas"
"325",794,"Netral","coba kaika husada kak doi vaksin vaksin sinovac pfizer wa"
"326",423,"Positif","vaksin kepengen vaksin astrazeneca sinovac tidak apaapa vaksin"
"327",1423,"Positif","belum vaksin ayo rapat markas pmi kabupaten lombok timur sedia vaksin sinovac dosis dosis"
"328",718,"Netral","vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"329",294,"Positif","sinovacklu om pakai vaksin apasaya vaksin debat bossujungnya tidak vaksin pecat"
"330",223,"Netral","vaksin astrazeneca sinopharm pfizer haram mu sinovac nyata halal sinar jateng"
"331",1305,"Netral","sd islamic center brebes vaksina"
"332",1455,"Netral","lu vaksin sinovac astrazeneca"
