"","klasifikasi","x"
"484","Positif","indonesia vaksin emergency use listing terbit who diperlakuk"
"494","Positif","takut suntik inovasi vaksin plester solusi"
"500","Positif","belum vaksin bingung vaksin saran mending sinovac denger o"
"502","Positif","serius pakai astramoderna efek kaya en vaksin dapetnya sinovac tidak efek samping apa"
"504","Negatif","yakin ckp kali"
"512","Negatif","sumpah vaksin moderna dapetnya mana siiiiih jwb tolong tidak vaksin sinovac m"
"531","Netral","serka budi suwao babinsa krebet laksana giat komsos pemantauan vaksin dosis pesea jenis vak"
"541","Netral","camat ceper beb coba dm instagram puskesmas bayat sana vaksin sinovac dosis"
"546","Positif","bapa bimbang vaksin sinovac selamat kanakkanak remaja"
"551","Negatif","vaksin sinovac tidak ln yakali vaksin ulang"
"552","Negatif","vaksin astrazeneca zeneca ou sinovac ou tidak efek samping samsek efek samping"
"564","Negatif","villagers in aceh indonesia refuse the vaccine and destroy the vaccination centre warga aceh ngamuk vaksinat"
"565","Negatif","oxford astrazeneca pfizer biontech moderna janssen kayak sinovac mesti udah vaksin booster dul"
"579","Netral","cek peduli lindung pke vaksin sinovac a"
"586","Netral","ins besok jadwal vaksinasi covid masyarakat jenis vaksin"
"594","Positif","aikel kubaca sinovac kondisi emergency b"
"617","Netral","…"
"620","Negatif","mjb bantu who belum aku vaksin tsb vaksin tsb cu"
"643","Positif","sinovac kak benar tidak pilah pilih vaksin dukung sabang merauke"
"689","Netral","kader pks vaksin camat koto ta­ngah sedia dosis vaksin sinovac moderna"
"705","Negatif","republik indonesia booster nakesdan tidak vaksin modernakebanyakkan sinovac keleees"
"708","Netral","informasi vaksin dosis sinovac malang kota terimakasih"
"715","Netral","sinovac hbu vaksin"
"720","Negatif","pesawat positif loh mas"
"722","Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"732","Netral","suasana vaksinasi selenggara ika universitas airlangga selenggara vaksina"
"734","Netral","informasi tidak vaksin dosis sinovac daerah cipondoh"
"745","Negatif","vaksin jenis masuk korea ndak karantina kyknya bukan sinovac deh"
"765","Negatif","seifikat vaksin tidak tulis sinovac musti coronavac tidak diakuin"
"766","Netral","efektif sinovac guru guru vaksin booster"
"768","Negatif","vaksin atuh om jack kalaugini dapet sinovac massal a"
"771","Netral","tu harap hak bg sinovac klau vaksin pilih"
"776","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silah"
"778","Positif","jenis vaksin sinovac buka usia sintas covid tel"
"784","Netral","jatimulya puskesmas jatimulya vaksin sinovac pfizer dosis syarat domisili jatimulya"
"792","Netral","besok adaa jadwal vaksin covid jenis vaksin astrazeneca sinovac beempat puskesmas sukagum"
"795","Netral","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia bawa foto"
"799","Netral","pemerintah stok vaksin covid produsen vaksin beli pemerintah terminal"
"802","Positif","i complete dose vaksin sinovac then on ve that time my condition ge"
"804","Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ku ilang"
"816","Netral","tutup wkwk coba samping lombok abang cimuning tidak lombok abang pato"
"820","Netral","tahu ane vaksin expirednya cepat pakai metode pfizer"
"835","Netral","ayo hadir gerai vaksin tni polri laksana"
"854","Positif","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"862","Positif","vaksin covid sinovac buat tiongkok remaja usia lengkap"
"863","Netral","siswa smk yapisdah ikut vaksin sinovac danramil csk proses ptm"
"877","Positif","guna vaksin sinovac golong remaja umur benar kp kesihatan sumber kementeria"
"887","Negatif","sekedar butuh seifikat pakai sinovac tidak percaya vaksin ribet"
"904","Positif","akuu vaksin sinovac alhamdulillah udah vaksin kali gapapa pas selesai vaksin tidak gejala aneh apa"
"913","Netral","tidak ngantri ngambil formulir na vaksin sinovac gataunya astrazeneca"
"914","Netral","mohon tunggu balas whatsapp panitia kait kak in"
"949","Positif","australia buka perbatasanpenerbangan internasional vaksin sinovac masuk oz kabar baik bua"
"969","Positif","asma ambil sinovac aman vaksin skrining sehat"
"989","Negatif","sing vaksin e sinovac ra sok keraskoyo ngenei astreav"
"997","Positif","besok vaksin ah nunggu moderna sinovac ajadeh"
"1019","Netral","informasi vaksin pfizer sinovac bogor sasar masyarakat usia"
"1032","Netral","eh nek awak due informasi vaksin sinovac dosis kabar tulungg makasoyy"
"1038","Negatif","tidak cuman apa jenis vaksin nya kek nya gejala efek nya nya"
"1062","Netral","gin gin udah vaksin jenis sinovac bawah"
"1067","Positif","iya pakai vaksin sinovac tidak kena asma izin vaksin"
"1089","Negatif","rasain pas vaksin sinovac nyeri memar"
"1097","Negatif","ayo besok vaksin du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc"
"1101","Netral","asli dar"
"1111","Positif","dosis vaksin sinovac laksana vaksin covid pmi kabupaten sragen rab"
"1126","Negatif","vaksin nder sinovac iya laper ngantuk"
"1143","Netral","uda vaksin sinovac kali booster pakai moderna"
"1148","Netral","vaksin sinovac wkwkwkwkk dapet sisa kuota dosis kampus barusan banget"
"1163","Positif","attention korang yassss its resmi vaksin sinovac kat remaja umur"
"1164","Negatif","baik vaksin lengkap negara arab saudi terima vaksin sinovac"
"1174","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"1176","Netral","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca sun"
"1177","Netral","jangan lupa ambil vaksin adikadik"
"1186","Negatif","umur tau udah vaksin kali tinggal"
"1194","Netral","udah tetangga update vaksin sedia puskesmas dekat rumah sinovac"
"1196","Negatif","wow lepas gomen approved sinovac budak orang booking beli vaksin anak"
"1210","Negatif","jangan sok keras vaksin nya sinovac vaksin jonivac suntik nya gede kenyal enak l"
"1214","Positif","raja lulus guna vaksin sinovac remaja malaysianow"
"1215","Netral","pbkd sar guna vaksin coronavac kalangan remaja usia d"
"1217","Netral","bgr vaksinasi grastis warga bogor daftar online langsung dosis"
"1218","Positif","adik adik jangan takut ambil vaksin kena gigit semut je"
"1243","Netral","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"1258","Netral","informasi vaksin covid massal bogor camat tanjungsari pakai sinovac pfizer"
"1267","Positif","kuasa kawal dadah pbkd tuju kelulus syarat guna vaksin coronavac keluar sinov"
"1273","Netral","kak maaf orang taiwan vaksin sinovac tidak"
"1289","Netral","panjang kanggo kancakanca brebes l sekitare vaksinasi usia kuo"
"1322","Netral","lur toloong informasi vaksin sinovac teman makasiih"
"1323","Negatif","vaksin sinovac positif masuk rumah sakit"
"1324","Positif","hahahah bokap lucu banget en vaksin sinovac moderna katane nyg ash remaja ueueueu gemeshh"
"1325","Netral","oyi vaksin sinovac dosis udah tiket pedulilindungi balas khusus dom mlg"
"1330","Netral","asma tidak vaksin sinovac kah"
"1339","Negatif","data tahan sinovac vaksin belum umum terima vaksin"
"1369","Netral","halo sobat polri masyarakat sekoharjo sapa belum vaksin klinik param"
"1371","Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"1377","Positif","them boys still debating whether get asta sinovac pfizer kecuali medis tidak rekomendasi"
"1379","Positif","horas medan urus daerah ikat alumni itb sumatera utara sentra vaksin bumn gelar laksana vak"
"1380","Negatif","mjb kalausinovac enteng sih tang pegal vaksin astraz"
"1381","Negatif","akibat amuk wargaterjadi rusak posko gerai vaksin vial vaksin dosis v"
"1390","Netral","hallo kuys belum vaksin lho vaksin rumah sakit uns dosis"
"1403","Netral","ciputra world surabaya vaksin sinovac"
"1404","Netral","ayo ayo belum vaksin vaksin pfizer dosis sinovac dosis tol jagorawi rest area pe"
"1417","Netral","klinik udah tidak ngelayanin vaksin cari informasi vaksin pmi deket sinova"
"1429","Netral","negara mula keluar vaksin covid bangun sinovac"
"1431","Netral","ciputra world jadwal sinovac"
"1449","Negatif","mimpi dapet vaksin booster kasih sinovac bilang gamau disunt"
"1450","Netral","informasi lokasi vaksin daerah solo dosis sinovac informasi"
"1463","Netral","hallo sobat polri polres lampung buka gerai vaksin presisi tahap i i sinovac"
"1474","Netral","karanganyar u purwanto babinsa desa karangmojo koramil tasikmadu laksana peng"
