"","klasifikasi","x"
"494","Positif","takut suntik inovasi vaksin plester solusi"
"500","Netral","belum vaksin bingung vaksin saran mending sinovac denger o"
"502","Netral","serius pakai astramoderna efek kaya en vaksin dapetnya sinovac tidak efek samping apa"
"504","Positif","yakin ckp kali"
"512","Positif","sumpah vaksin moderna dapetnya mana siiiiih jwb tolong tidak vaksin sinovac m"
"514","Positif","pahit manis ppv integrasi idcc shah alam beri vaksinasi samada vaksin astrazeneca sinov"
"528","Netral","lanjut informasi vaksin ciwalk udah bannernya instagram vaksin pakai sinovac pakai"
"531","Positif","serka budi suwao babinsa krebet laksana giat komsos pemantauan vaksin dosis pesea jenis vak"
"541","Netral","camat ceper beb coba dm instagram puskesmas bayat sana vaksin sinovac dosis"
"546","Negatif","bapa bimbang vaksin sinovac selamat kanakkanak remaja"
"551","Netral","vaksin sinovac tidak ln yakali vaksin ulang"
"552","Netral","vaksin astrazeneca zeneca ou sinovac ou tidak efek samping samsek efek samping"
"563","Positif","giat vaksinasi tahap vaksin jenis pfizer puskesmas kedungwaringin bripka rifai lantas himbau warga"
"564","Netral","villagers in aceh indonesia refuse the vaccine and destroy the vaccination centre warga aceh ngamuk vaksinat"
"565","Netral","oxford astrazeneca pfizer biontech moderna janssen kayak sinovac mesti udah vaksin booster dul"
"579","Negatif","cek peduli lindung pke vaksin sinovac a"
"586","Netral","ins besok jadwal vaksinasi covid masyarakat jenis vaksin"
"594","Netral","aikel kubaca sinovac kondisi emergency b"
"596","Netral","putus australia aku vaksin sinovac angin segar wisatawan internasional asal"
"601","Netral","keluarga beda merk vaksin sinovac adek pfizer astrazeneca kakak modern"
"607","Negatif","daftar nomor teera gambar vaksin dosis sinovac"
"617","Netral","jika"
"619","Positif","zen catat surat keteranganp dokter tidak terima vaksin sinovac astrazeneca"
"620","Positif","mjb bantu who belum aku vaksin tsb vaksin tsb cu"
"627","Netral","suntik bu dokter"
"639","Negatif","asline powerrenjes mergo bar vaksin sinovac kuat ilang"
"643","Positif","sinovac kak benar tidak pilah pilih vaksin dukung sabang merauke"
"659","Positif","vaksin astrazeneca efek sinovaclapar ngantuk meriang esok hari itu"
"662","Positif","eh pakai vaksin pakai sinovac hati tenang deh"
"676","Netral","temen ku vaksin pfizer rata efek samping nya kayak sinovac doang bestie tidak imun terminal"
"678","Negatif","tbh glad tidak sinovac gapapa keras efek rada gila banyak baca poal negara"
"688","Positif","ngomong ngomong pikir pikir syukur indonesia vaksin utama dosis banyak sinovac cerita temen s"
"689","Netral","kader pks vaksin camat koto ta­ngah sedia dosis vaksin sinovac moderna"
"695","Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha"
"705","Positif","republik indonesia booster nakesdan tidak vaksin modernakebanyakkan sinovac keleees"
"708","Negatif","informasi vaksin dosis sinovac malang kota terimakasih"
"714","Negatif","sih nder pas vaksin sinovac demam minggu"
"715","Netral","sinovac hbu vaksin"
"720","Negatif","pesawat positif loh mas"
"722","Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"732","Positif","suasana vaksinasi selenggara ika universitas airlangga selenggara vaksina"
"734","Netral","informasi tidak vaksin dosis sinovac daerah cipondoh"
"736","Positif","dosis administrasi amerika inggris bayang untung farmasi vaksin"
"745","Negatif","vaksin jenis masuk korea ndak karantina kyknya bukan sinovac deh"
"765","Netral","seifikat vaksin tidak tulis sinovac musti coronavac tidak diakuin"
"766","Positif","efektif sinovac guru guru vaksin booster"
"768","Netral","vaksin atuh om jack kalaugini dapet sinovac massal a"
"769","Netral","vaksin dosis sinovac huhu tt"
"771","Netral","tu harap hak bg sinovac klau vaksin pilih"
"776","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silah"
"778","Netral","jenis vaksin sinovac buka usia sintas covid tel"
"784","Netral","jatimulya puskesmas jatimulya vaksin sinovac pfizer dosis syarat ktp domisili jatimulya"
"787","Positif","rahmad dorong vaksin jenis sinovac aku who"
"792","Netral","besok adaa jadwal vaksin covid jenis vaksin astrazeneca sinovac beempat puskesmas sukagum"
"795","Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia bawa foto"
"799","Positif","pemerintah stok vaksin covid produsen vaksin beli pemerintah terminal"
"802","Netral","i complete dose vaksin sinovac then on ve that time my condition ge"
"804","Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ku ilang"
"807","Netral","bahan vaksin sinovac"
"812","Negatif","jangan kakean cangkem asline ki turun prabu siliwangi bar vaksin sinovac kuat ilang"
"815","Positif","gratis tidak non sinovac kali vaksin aman kemanamana gratis kaum sinovac kali vaksin belum aman kemanam"
"816","Netral","tutup wkwk coba samping lombok abang cimuning tidak lombok abang pato"
"820","Positif","tahu ane vaksin expirednya cepat pakai metode pfizer"
"833","Positif","ayo hadir gerai vaksin tni polri laksana w"
"835","Positif","ayo hadir gerai vaksin tni polri laksana"
"839","Netral","sayup dengar obrol buskrg vaksin sinovac tidak dgnti astrazeneca vaganza astrazeneca vaganza"
"841","Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen"
"848","Positif","jenis vaksin sinovac buka usia sintas covid"
"854","Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"862","Netral","vaksin covid sinovac buat tiongkok remaja usia lengkap"
"863","Netral","siswa smk yapisdah ikut vaksin sinovac danramil csk proses ptm"
"869","Negatif","sinovac pas vaksin fit parah deh saran"
"877","Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan sumber kementeria"
"887","Netral","sekedar butuh seifikat pakai sinovac tidak percaya vaksin ribet"
"904","Positif","akuu vaksin sinovac alhamdulillah udah vaksin kali gapapa pas selesai vaksin tidak gejala aneh apa"
"907","Netral","riwayat asma puskesmas ditanyain terkahir kambuh vaksin"
"910","Netral","sinovac vaksin"
"913","Netral","tidak ngantri ngambil formulir na vaksin sinovac gataunya astrazeneca"
"914","Netral","mohon tunggu balas whatsapp panitia kait kak in"
"917","Positif","pesea dosis lebih terima dosis sinovaccoronavac pasti bawa kau vaksin"
"920","Netral","bgr informasi vaksin sinovac besok tidak dosis makasii"
"925","Netral","produk sinovac jenis vaksin covid lulus raja malaysia guna tidak"
"929","Netral","kmaren mintain surat rekomen jantung vaksin ibu takut e"
"941","Netral","asline dekar cuman bar vaksin sinovac dadi jurus reset kabeh"
"944","Netral","vaksin sinovac lengenku kemeng mendae kenek astrazeneca"
"949","Positif","australia buka perbatasanpenerbangan internasional vaksin sinovac masuk oz kabar baik bua"
"960","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"966","Netral","asline ultramen due kuat mbuh nopo bar vaksin sinovac kuat nerf entek an"
"969","Positif","asma ambil sinovac aman vaksin skrining sehat"
"989","Negatif","sing vaksin e sinovac ra sok keraskoyo ngenei astreav"
"997","Negatif","besok vaksin ah nunggu moderna sinovac ajadeh"
"1018","Negatif","kipi vaksin pfizer tidak kalah moderna gila apaa sinovac kayanyaa air tubuh w saking gabereaksinya"
"1019","Netral","informasi vaksin pfizer sinovac bogor sasar masyarakat usia"
"1024","Negatif","perbezaan mati akibat covid terima vaksin astrazeneca pfizer sinovac mati a"
"1029","Negatif","informasi vaksin covid bogor sinovac dosis puskesmas purwasari kuota"
"1031","Netral","informasi vaksin sinovac dosis bogor daftar"
"1032","Netral","eh nek awak due informasi vaksin sinovac dosis kabar tulungg makasoyy"
"1038","Netral","tidak cuman apa jenis vaksin nya kek nya gejala efek nya nya"
"1055","Positif","sih sinovac vaksin ama vaksin dosis ama k"
"1057","Positif","vaksin sinovac vaksin moderna kalaua"
"1062","Netral","gin gin udah vaksin jenis sinovac bawah"
"1066","Positif","stok dikemaskini kuantiti jenis keychain guyyss jenis rm jer keychain vaksin"
"1067","Positif","iya pakai vaksin sinovac tidak kena asma izin vaksin"
"1068","Netral","informasi jadwal vaksin serpong kota tangerang dosis sinovac"
"1071","Netral","eh zahwa no minor kaya bukan sinovac vaksin sekolah"
"1081","Positif","asma vaksin ka asma bbrp sempet kumat kon"
"1089","Negatif","rasain pas vaksin sinovac nyeri memar"
"1092","Positif","ayo vaksin temen sinovac ngantuk laperan doang beneran deh"
"1097","Netral","ayo besok vaksin du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc"
"1100","Netral","asli d"
"1101","Netral","asli dar"
"1111","Positif","dosis vaksin sinovac laksana vaksin covid pmi kabupaten sragen rab"
"1112","Positif","menteri sehat malaysia menyetujui guna syarat vaksin covid buat sinovac china anak"
"1118","Netral","adakan vaksin vaksin gelombang sinovac"
"1126","Positif","vaksin nder sinovac iya laper ngantuk"
"1128","Netral","efek vaksin sinovac rasa ngantukan ttapi k ngantukan in"
"1130","Netral","ketua arah kesihatan noor hisham abdullah vaksin covid lulus p"
"1135","Negatif","orang tua vaksin kena covid mele"
"1143","Netral","uda vaksin sinovac kali booster pakai moderna"
"1148","Netral","vaksin sinovac wkwkwkwkk dapet sisa kuota dosis kampus barusan banget"
"1154","Netral","teknoloji mrna punya kesan samping kuat suai golong komorbiditi sinovac l"
"1160","Netral","ko seremm vaksin sinovac"
"1163","Positif","attention korang yassss its resmi vaksin sinovac kat remaja umur"
"1164","Positif","baik vaksin lengkap negara arab saudi terima vaksin sinovac"
"1167","Netral","jog informasi vaksin dosis sinovac dosis d jogja jadwal dosis nya besok"
"1172","Positif","anak udah tiket vaksin app tidak mana vaksin nya cek nya d"
"1174","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"1176","Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac pasca sun"
"1177","Netral","jangan lupa ambil vaksin adikadik"
"1185","Positif","kkm bersetuju kelulus syarat guna vaksin coronavac keluar sinovac life scienc"
"1186","Netral","umur tau udah vaksin kali tinggal"
"1194","Netral","udah tetangga update vaksin sedia puskesmas dekat rumah sinovac"
"1196","Negatif","wow lepas gomen approved sinovac budak orang booking beli vaksin anak"
"1210","Netral","jangan sok keras vaksin nya sinovac vaksin jonivac suntik nya gede kenyal enak l"
"1214","Netral","raja lulus guna vaksin sinovac remaja malaysianow"
"1215","Positif","pbkd sar guna vaksin coronavac kalangan remaja usia d"
"1217","Positif","bgr vaksinasi grastis warga bogor daftar online langsung dosis"
"1218","Netral","adik adik jangan takut ambil vaksin kena gigit semut je"
"1220","Positif","maksimal vaksin ama kalausinovac moderna maksimal kalauastrazeneca"
"1221","Positif","situbondo gencar semangat serbu vaksinasi covid dosis kodim situbondo jenis vaksin"
"1227","Positif","vaksin sinovac china indonesia vaksin sinopal"
"1242","Netral","alhamdulillah lepas cucuk vaksin sinovac cari self reward"
"1243","Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"1246","Positif","sdf informasi vaksin sinovac rek vaksin soale belum jelas hikd"
"1258","Negatif","informasi vaksin covid massal bogor camat tanjungsari pakai sinovac pfizer"
"1265","Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat me"
"1267","Positif","kuasa kawal dadah pbkd tuju kelulus syarat guna vaksin coronavac keluar sinov"
"1270","Negatif","syarat vaksin covid bogor sinovac puskesmas cangkurawok besok cek info"
"1273","Positif","kak maaf orang taiwan vaksin sinovac tidak"
"1274","Positif","siswa smk islam jumo vaksin dosis babinsa koramil kedungjati u sugiyanto bhabinkamtibmas monitor"
"1281","Positif","sila daftar link sedia kuota formulir otomatis teutup"
"1289","Positif","panjang kanggo kancakanca brebes l sekitare vaksinasi usia kuo"
"1305","Netral","sd islamic center brebes vaksina"
"1316","Netral","panjang sd islamic center"
"1321","Positif","vaksin sembuh bangsa validasi sinovac who bukti vaksin aman ruji mutu"
"1322","Netral","lur toloong informasi vaksin sinovac teman makasiih"
"1323","Negatif","vaksin sinovac positif masuk rumah sakit"
"1324","Netral","hahahah bokap lucu banget en vaksin sinovac moderna katane nyg ash remaja ueueueu gemeshh"
"1325","Negatif","oyi vaksin sinovac dosis udah tiket pedulilindungi balas khusus dom mlg"
"1330","Netral","asma tidak vaksin sinovac kah"
"1339","Positif","data tahan sinovac vaksin belum umum terima vaksin"
"1357","Negatif","vaksin sinovac ngerasain pegal"
"1360","Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"1369","Positif","halo sobat polri masyarakat ktp sekoharjo sapa belum vaksin klinik param"
"1371","Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"1377","Netral","them boys still debating whether get asta sinovac pfizer kecuali medis tidak rekomendasi"
"1379","Positif","horas medan urus daerah ikat alumni itb sumatera utara sentra vaksin bumn gelar laksana vak"
"1380","Negatif","mjb kalausinovac enteng sih tang pegal vaksin astraz"
"1381","Positif","akibat amuk wargaterjadi rusak posko gerai vaksin vial vaksin dosis v"
"1387","Positif","validasi sinovac who bukti vaksin aman ruji mutu"
"1390","Positif","hallo kuys belum vaksin lho vaksin rumah sakit uns dosis"
"1391","Netral","beda vaksin sinovac astrazeneca"
"1393","Netral","vaksin ama moderna puskesmas lubuk kilang sinovac"
"1403","Netral","ciputra world surabaya vaksin sinovac"
"1404","Positif","ayo ayo belum vaksin vaksin pfizer dosis sinovac dosis tol jagorawi rest area pe"
"1407","Positif","wahh moga keluarga sehat keluarga alhamdulill"
"1412","Positif","raja bangun pelan strategik bangun vaksin negara umum perdana menteri"
"1417","Positif","klinik udah tidak ngelayanin vaksin cari informasi vaksin pmi deket sinova"
"1420","Netral","informasi vaksin sinovac daerah jakaa timur tolong"
"1421","Positif","yampun abis vaksin lgsg rebah hari makan dahal sinovac dahal tidak efek sugesti"
"1422","Netral","pgb ngadain sept vaksin sinovac"
"1429","Negatif","negara mula keluar vaksin covid bangun sinovac"
"1431","Negatif","ciputra world jadwal sinovac"
"1437","Netral","vaksin sinovac tgn kiri pegal doang"
"1449","Negatif","mimpi dapet vaksin booster kasih sinovac bilang gamau disunt"
"1450","Positif","informasi lokasi vaksin daerah solo dosis sinovac informasi"
"1456","Negatif","coronavac vaksin corona sinovac moderna astrazeneca sinopharm dll"
"1460","Positif","habis vaksin sinovac dosis nunggu panggil perawatbuka twitter langsung baca im screamiìiiiiing acto"
"1463","Negatif","hallo sobat polri polres lampung buka gerai vaksin presisi tahap i i sinovac"
"1474","Netral","karanganyar u purwanto babinsa desa karangmojo koramil tasikmadu laksana peng"
