score,text,klasifikasi
0,warga singapura ramairamai pilih sinovac dan sinopharm untuk vaksin booster ,Netral
0, untuk yang sinovac paling murah siapkan ro per orang dalam keluarga yang vaksin setiap bulan pandemi masih lama…,Netral
0,sdf rek informasi vaksin dosis sinovac area waru dan sekitarnya,Netral
-2,enggak usah banyak bacot aslinya gua ini ultramentapi gara gara di vaksin sinovac aja jadi kekuatan gua hilang ,Negatif
0,untuk yang sinovac paling murah siapkan ro per orang dalam keluarga yang vaksin setiap bulan pandemi masi… ,Netral
2,goh bak nai dari taman sin far ipoh dibawa ke ppv hospital pakar komuniti ipoh selamat menerima suntikan dosis pea… ,Positif
0,siapa impoir vaksin sinovac,Netral
0,yaallah mau nonton konser tapi kemarin vaksin sinovac,Netral
0, pelayanan vaksinasi dosis sinovac di kantor unit laka satlantas jalan inspeksi kalimalang wangunharja …,Netral
0,ada orang peikai menteri diskriminasi orang yang vaccinated dengan non vaccinated tapi jenis vaksin pun boleh kena discr… ,Netral
0, vaksin sinovac adalah senjata utama republik indonesia dalam penangana pandemi tetapi karantina republik indonesia masih perlu bagi in… ,Netral
2,total vaksin yang tiba di indonesia baik dalam bentuk bulk atau bahan baku maupun bentuk jadi berjumlah … ,Positif
-1,vaksinasi dosis dua drive thru di fk kmk ugm kembali di gelar sleman komando distrik militer sleman b… ,Negatif
0, pelayanan vaksinasi dosis sinovac di kantor unit laka satlantas jalan inspeksi kalimalang wangunharj… ,Netral
3, syukur alhamdulillah kalau udah membaik emang baiknya banyak istirahat kalau abis vaksin apalagi kalau ada… ,Positif
2,pelaksanaan vaksinasi kodim pati jenis vaksin sinovac di puskesmas tambakromo jumlah sasaran vaksin i atau… ,Positif
0,kedatangan vaksin sinovac di bandara intl supadio dari jakaa untuk di bawa menuju gudang dinkes propinsi kalbar… ,Netral
2, pesea dosis harus melebihi hari setelah menerima dosis sinovaccoronavac yaitu maksimal tanggal sep… ,Positif
4,informasi penting wajib dibaca kegiatan vaksinasi ini ditujukan bagi masyarakat umum berlaku untuk warga… ,Positif
-1,komando distrik militer sleman bekerjasama dengan aparat terkait dan stakeholder kembali melaksanakan serbuan… ,Negatif
1,anggota polsek babelan melaksanakan pengamanan kegiatan program vaksinasi merdeka berani gerai di wilayah polsek… ,Positif
2,warga pojok antusias ikuti vaksin babinsa koramil pulokulon serda zainudin bersama bhabinkamtibmas monitoring v… ,Positif
1, alhamdulillah dapat pfizer sebenernya apapun vaksinnya tidak masa… ,Positif
-1,vaksinasi dosis dua drive thru di fk kmk ugm kembali di gelar komando distrik militer sleman bekerjasama d… ,Negatif
-3, hahaha salah judul ini mah jelas di awal pemerintah cuma sediain sinovac jadi ya mau tidak mau ya pakai sinovac ibarat h…,Negatif
0, aku dapetnya sinovac beda vaksin sih,Netral
0, min mohon informasi vaksin dosis ke sinovac masih ada gaa kalauada mau informasi dimana aja,Netral
1,informasi vaksin bekasi puskemas margajaya sebelah pengadilan agama ada vaksin pfizer dosis dan sinovac d… ,Positif
1,informasi vaksin bekasi di pos polsek medan satria dari dinas kesehatan lurus sedikit smp tanggal oktober ada vaksin… ,Positif
-2, hasil gambar kandungan dari vaksin sinovac yang udah di zoom berupa virus berbentuk gurita yang mematikan,Negatif
0,yang ais yang lain dikasih vaksin kebal koped kalaulisa mah pakenya sinovac makanya cuma lisa doang yang dilarang… ,Netral
-2,aku masuk dalam category no vaccine pergh sedih marah … ,Negatif
1,batituud koramil kradenan pelda supriyanto bersama anggota monitoring serbuan vaksinasi kodam ivdiponegoro di w… ,Positif
2,pengen nya vaksin moderna pas datang taunya sinovac ya sudah lah jalani saja yang penting sehat ,Positif
1, bang bon saya di april belum vaksin hasil dan juli sudah vaksin kali sinovac hasil mea… ,Positif
1, warga kabupaten bandung ayo divaksin ikuti vaksinasi massal yang diselenggarakan oleh pemerintah kabupaten bandung…,Positif
1, di puri nder soalnya tadi aku juga vaksin di sana ada jenis vaksin hari ini pfizer sinovac sama moderna,Positif
1,warga geyer vaksin dosis babinsa koramil gundih serda kenang bersama kades dan perangkat desa geyer monitorin… ,Positif
1, ternyata ke aussie juga harus vaksin kak jadi bukan cuma mau meninggalkan indonesia saja syarat vaksin …,Positif
1, sinovac bukan vaksin dosis besar padahal tapi pegal banget ini tangan yang vaksin peama tidak se pegal ini,Positif
-1,akhirnya vaksin juga habis covid belum genap bulan tapi gapapa ternyata karawang yang available sinovac yowis se… ,Negatif
-2, rumah sakit drm hassan toto infonya vaksin atau dengan jenis moderna atau sinovac,Negatif
0, aku udah vaksin sinovac,Netral
1, mungkin masih ada yang belum vaksin rek bisa vaksin dosis atau vaksin dosis sinovac mulai umur keatas …,Positif
0, beugas di l titiwangsa sebagai pegawai stesen muhammad nor afiq bin budin yang merupakan petugas barisan hadapan telah…,Netral
1,wkwk ajg twit ngomong nyari thread vaksin kemarin di akun buzzer anti vacc block ngetwit doang wow lagian memang… ,Positif
2,ayo dukung vaksinasi agar pandemi ini bisa segera kita lalui tetap patuhi prokes m ya … ,Positif
-1, rasah kakean cangkem asline aku ki ultramen tapi bar di vaksin sinovac kekuatan ku ilang ,Negatif
0, min tolong informasi vaksin sinovac sama pfizer ya,Netral
3,mau jenis vaksin sinovac sampai moderna semua jenis vaksin sudah terbukti aman dan membantu kekebalan tubuh untuk… ,Positif
0,pendistribusian vaksin sinovac dikawal babinsa ,Netral
2,alhamdulillah akhirnya bisa vaksin dosis peama di desa sebelah dapat sinovac suami adik ipar bekerja sbg apara… ,Positif
-1,ponakan aku mumpung dibolehin vaksin dia pilih pfizer instead of moderna pas bolehnya moderna dia takut takut sa… ,Negatif
0,beragam ya jenis vaksin covid yang digunakan di indonesia ada sinovac moderna astrazeneca shinopharm dan pfizer… ,Netral
1,serbuan vaksin sinovac dosis dan desa sumberejo mranggen tembus dari target vaksin ,Positif
0, vaksin aku sinovac wow,Netral
1,situbondo • antusias masyarakat situbondo serbuan vaksinasi covid dosis dan dengan jenis vaksin sinovac dan… ,Positif
2,sudahlah kita tidak usah pilih vaksin gaes aku dulu dapet sinovac saja sudah benar membantu saat aku kena cov yug… ,Positif
1, informasi vaksinasi covid reposted from usia jenis vaksin astrazeneca usia th jenis v… ,Positif
0,nih pas lagi nganter anakku vaksin bbrp waktu yang lalu dia dapat pfizer sedang saya astrazeneca suami sinovac alhamdul… ,Netral
2,informasi jadwal vaksin terbaru oktober dosis sinovac kuota di terminal bandara juanda gratis beras kg cek pend… ,Positif
2,pemerintah akan terus mengupayakan ketersediaan vaksin baik lewat skema multilateral maupun bilateral demi mencukup… ,Positif
-4, besok bisa lebih dari dua juta sehari kalau rutin begini yang kemarin dapatnya sinovac tidak perlu kecil hati ya sama…,Negatif
-1,bingung mau vaksin sinovac atau astrazeneca ya enaknya ,Negatif
-1,kalian perlu tahu nih ada enam jenis vaksin yang masuk ke indonesia antara lain sinovac dengan efikasi a… ,Negatif
-2, kok dipaksa begitu sinovac efikasinya emang rendah masa negara lain tak boleh lindungi rakyatnya sendiri aneh ka…,Negatif
-4, besok bisa lebih dari dua juta sehari kalau rutin begini yang kemarin dapatnya sinovac tidak perlu kecil hat… ,Negatif
-2,hahaha salah judul ini mah jelas di awal pemerintah cuma sediain sinovac jadi ya mau tidak mau ya pakai sinovac… ,Negatif
1, mau tanya kalauudah vaksin sinovac bisa vaksin moderna atau pfizer tidak,Positif
1,sobat polri vaksin covid di adakan di menteng tenggulun kecamatan menteng jakaa pusat jenis vaksin sinov… ,Positif
0, tergantung vaksin e ndra aku dari awal dapet sinovac setelah bulan dapet booster dosis pakai mod… ,Netral
0,cirebon informasi vaksin untuk kota cirebon hari ini rabu kegiatan dilaksanakan di pelabuhan cirebon te… ,Netral
1,informasi jadwal vaksin oktober di stadion pakansari bogor tersedia astrazeneca moderna sinovac ,Positif
1,warga kabupaten bandung ayo divaksin ikuti vaksinasi massal yang diselenggarakan oleh pemerintah kabupaten ban… ,Positif
1,mungkin masih ada yang belum vaksin rek bisa vaksin dosis atau vaksin dosis sinovac mulai umur keatas… ,Positif
0,wal vaksin coronavac itu samakh dengan sinovac,Netral
0,sambut hut ke tni kodam vbrawijaya mengadakan upacara viual sekaligus pembagian vaksin sinovac kepada masyar… ,Netral
1,sentra vaksin binplaz puskesmas pada betung masih berlangsung sampai akhir oktober melayani dosis dengan jenis vaksin sinovac,Positif
5,informasi vaksin dosisi bagi anda yang belum mendapatkan vaksinasi gerai vaksinasi polres gunungkidul membuka pe… ,Positif
1,dips ada yang vaksin dosis coronavacsinovac disemarang tapi ktp luar semarang tidak itu lihat di web victori semar… ,Positif
-2,halo sahabat rumah sakit baptis batu berikut adalah jadwal baru pesea vaksin c sinovac yang ditunda pelayanan dosis… ,Negatif
0, yang mau vaksin astrazeneca atau sinovac dosis dan bisa langsung tancap gas ke preston yaaaa ,Netral
0, aku pas vaksin satu mba sampai kemeng sinovac padahal biru di aku ,Netral
-1,kenapa orang yang dapat astrazeneca ngrasa superior sih tolong be kind people jangan buat orang yang dapat sinovac dan… ,Negatif
0, ternyata ke aussie juga harus vaksin kak jadi bukan cuma mau meninggalkan indonesia saja syarat… ,Netral
2, iya soalnya di beberapa negara teentu tidak menerima turis yang vaksin sinovac jenis jenis variasi vaks… ,Positif
0,jog vaksin yang peama itu namanya sinovac bukan nah itu bisa dimana ya untuk sekarang,Netral
5, selamat pagi berikut jadwal vaksinasi covid dosis kedua bagi sedhereksedherek yang mendapatkan vaksin dosis peama j…,Positif
5,selamat pagi berikut jadwal vaksinasi covid dosis kedua bagi sedhereksedherek yang mendapatkan vaksin dosis pe… ,Positif
-1, semua vaksin itu sama intinya buat ngelindungin diri dari covid lagipula tidak semua orang bisa milih ma… ,Negatif
0,menurut saya ini masuk akal asumsinya jika harus booster ya vaksin virus dilemahkan rangorang singapore ,Netral
2,solidaritas vaksin psi kota depok vaksin sinovac dosis syarat wni foto copy ktpkiakk minggu … ,Positif
0, kamu vaksin astrazeneca sinovac atau yang lain,Netral
0, jenis vaksin astrazeneca sinovac atau yang lain,Netral
0, kamu vaksin sinovac astrazeneca atau apa,Netral
1, selamat pagi min untuk vaksin dosis ke dua sinovac apakah masih tersedia,Positif
0,mui terkontaminasi kandungan vaksin jelas membahayakan nyawa manusia banyak yang meninggal akibat divaksin kok mas… ,Netral
0, wkwkw aku vaksin baru sinovac bisa apa ,Netral
2,vaksin sinovac halal dan suci … ,Positif
1,vaksin sinovac halal … ,Positif
1, warga kabupaten bandung ayo divaksin ikuti vaksinasi massal yang diselenggarakan oleh pemerintah kabupaten bandung l…,Positif
0,vaksin astrazeneca sinopharm dan pfizer disebut haram mui untuk sinovac dinyatakan halal sinar jateng ,Netral
1, mjb kalauudah vaksin sinovac kali tetap harus vaksin booster ya aku vaksinnya sinovac juga soalnya,Positif
2, halo min mau tanya apa vaksin sinovac dosis udah tidak ada ya terima kasih sebelumnya,Positif
1, gapaapaaa apalagi sinovac itu santai aja selama badannya fit pas vaksin tidak flu atau lagi gaenak bad… ,Positif
0, halo min ini kota udah tidak nyediain vaksin sinovac ya saya udah daftar by web vaksinasitangera… ,Netral
0,indonesia kedatangan lima juta dosis vaksin sinovac dalam bentuk jadi ,Netral
2,masyarakat diimbau tidak pilihpilih vaksin il ya a heures vaksin covid… ,Positif
0,pangkoarmada ii tni pantau serbuan dosis vaksin sinovac di kabupaten pasuruan ,Netral
-1,setelah sinovac pemerintah datangkan vaksin covid pfizer dan astrazeneca lewat jalur komersial ,Negatif
-1,lima juta dosis vaksin covid sinovac dalam bentuk jadi tiba di tanah air ,Negatif
-1,rasah kakean cangkem asline aku ki ultramen tapi bar vaksin sinovac kekuatanku ilang,Negatif
2, lah aku vaksin sinovac juga karena vaksin pas awal baru mulai vaksin massal kebagiannya itu kaga bisa milih…,Positif
0, tolong ada keluargaku sampai sekarang kaga vaksin karena gamau sinovac katanya percuma j… ,Netral
0,jangan ngaku kuat yen vaksin mu iseh sinovac,Netral
-2,indonesia kembali kedatangan juta dosis vaksin covid sinovac dan astrazeneca ,Negatif
1, lu masalah beda jenis vaksin saja dibikin ribet bgini yang penting tuh vaksin dulu woey udah mau abis ini tapi…,Positif
1, mohon maaf orang orang yang divaksin pas awal awal pasti sinovac lu baru vaksin sekarang biar bisa ma… ,Positif
1, harus sama soalnya aku vaksin sinovac vaksin nya moderna tu gaboleh,Positif
0, sinovac kamu sudah vaksin belum,Netral
-2, saya juga menolak pemaksaan vaksin kok mba malah saya kritik keras vaksin sinovac tapi saya tidak akan… ,Negatif
2, malam dok mau tanya ibu saya setelah pasang ring bulan udah stabil tensinya dan udah boleh vaksin c… ,Positif
2, bagi yang belum vaksinasi silahkan rsud kanjuruhan kabupaten malang ada program vaksinasi covid dengan jenis vaksin sinovac…,Positif
1, selamat malam admin mohon informasi untuk lapor kipi setelah vaksin sinovac ke siapa ya kontak yang teera di… ,Positif
1, vaksin peama sinovac dosis ayo rek vaksinasi drive thru rabu tanggal oktober pukul wib di stadio…,Positif
2, stok vaksin kami cukup bapak stok saat ini tersisa dosis terdiri dari vaksin sinovac dan sinopharm” jawab perwak…,Positif
-2,tahap ke pemerintah kembali datangkan lima juta dosis vaksin covid sinovac ,Negatif
2,stok vaksin kami cukup bapak stok saat ini tersisa dosis terdiri dari vaksin sinovac dan sinopharm” jawab p… ,Positif
0, vaksin sinovac kedua oktober min,Netral
-1,sumpah ya anjing aku sebagai pakai sinovac merasa kesel lu masih untung ada vaksin jadi orang jangan pilih pilih vak… ,Negatif
0, jadwal daftar pesea vaksin sinovac di polres magelang hari ini ,Netral
-1, aku yang vaksin sinovac merasa terpanggil,Negatif
2, kami buka kesempatan untuk vaksin dosis sinovac khusus bagi warga dengan ktp sukoharjo yang sudah vaksin atau warga…,Positif
0, bisa kok kalau sinovac kan minimal hri baru boleh vaksin k jadi kalau lebih tidak apa-apa,Netral
-2,oh iy tadi pagi aku sudah vaksin sinovac dosis rasany dugun banget karena aku sendirian literally sendirian dari pergi sampai… ,Negatif
1, teman² mohon informasi ibuku butuh vaksin kedua untuk tanggal atau oktober vaksin peamanya sinovac perintah dokternya…,Positif
1,warga kabupaten bandung ayo divaksin ikuti vaksinasi massal yang diselenggarakan oleh pemerintah kabupaten bandun… ,Positif
-1, wahhh bisa gitu ya anak aku dapat sinovac semua dan waktu yang peama tidak ada masalah apa sik normal aja… ,Negatif
-1,rasah kakean cangkem asline aku ki ultramen tapi bar di vaksin sinovac kekuatan ku ilang ,Negatif
1, itu aku mendingan temenku jenis vaksin sama katanya sama seperti kena covid dan semua teman²nya begitu te… ,Positif
0,rasah kakehan cangkem asline aku ki ultramentapi bar vaksin sinovackekuatanku ilang,Netral
1,wamenkes kedatangan vaksin janssen dan sinovac dukung percepatan vaksinasi nasional ,Positif
1,ternyata vaksin pfizer lebih berasa banget pegelnya dibanding vaksin sinovac ’,Positif
