"","klasifikasi","x"
"984","Negatif","siapsiap umrah jangan lupa vaksin jangan sinovac arab produk cina arab saudi long"
"1444","Netral","jadwal vaksin covid kota cirebon sedia dosis sinovac"
"1320","Negatif","yahhh ku sinovac vaksin sinovac pergi ln vaksin bukan sinovac"
"230","Netral","pangkoarmada i tni pantau serbu dosis vaksin sinovac kabupaten pasuruan"
"1288","Netral","vaksin seling gaboleh kayak dosis sinovac dosis astrazeneca zeneca"
"399","Negatif","alergi berat hipeensi kolesterol alhamdulillah vaksin sinovac lengkap baik sam"
"859","Netral","ajar cilacap suntik vaksin covid dosis ama jenis sinovac meninj"
"853","Negatif","imunisasi covid guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga lifesciences"
"1088","Positif","mjb tau ku kalaukita vaksin pergi ln vaksin indonesia tidak list ne"
"353","Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa"
"1290","Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin sembuh bangsa"
"253","Negatif","vaksin sinovac panggil"
"1346","Positif","mjb tidak jadwal vaksin dosis sinovac bina sehat emng tidak tru"
"1481","Positif","jog informasi vaksin sinovac vaksin nya y cek igtwt nya infovaksindiy belum update"
"155","Positif","en nya vaksin moderna pas tau sinovac jalan sehat"
"420","Positif","ayo vaksin informasi vaksin banjarmasin jadwal dosis sinovac ktp informasi"
"191","Positif","sobat polri vaksin covid adakan menteng tenggulun camat menteng jakaa pusat jenis vaksin sinov"
"297","Netral","presiden jajar pemerintahan public figure nakes mostly vaksin sinovac and it helps so bilang"
"949","Positif","australia buka perbatasanpenerbangan internasional vaksin sinovac masuk oz kabar baik bua"
"1098","Positif","h terbang medanbatam syarat vaksin kali sinovac booster moderna terima kasih"
"189","Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac"
"599","Netral","benar hadir majlis surau masjid teakluk lengkap terima dosis"
"402","Netral","heh informasi vaksin sinovac dosis ning kabupatenkota madiun slur"
"1003","Netral","informasi vaksin covid bogor sinovac dosis camat ciomas sedia kuota"
"516","Negatif","juta kali sinovac rupiah murah sinovac juta warga bayar vaksin boos"
"1279","Positif","giat vaksinasi massal masyarakat brebes gerai vaksin presisi polres brebes dosis ama d"
"1480","Netral","udah sih full vaksin sinovac"
"528","Netral","lanjut informasi vaksin ciwalk udah bannernya instagram vaksin pakai sinovac pakai"
"1349","Negatif","aljazair resmi lini produksi vaksin covid sinovac"
"1393","Netral","vaksin ama moderna puskesmas lubuk kilang sinovac"
"491","Netral","besok vaksin ktp kabupaten bandung stadion jalak harupat gaiss dosis pakai sinovac"
"288","Negatif","kalauadanya daerah sinovac marah en daftar kota"
"163","Negatif","rumah sakit drm hassan toto info vaksin jenis moderna sinovac"
"1334","Negatif","vaksin sinovac lantas positif covid vaksin sinovac"
"1403","Netral","ciputra world surabaya vaksin sinovac"
"607","Negatif","daftar nomor teera gambar vaksin dosis sinovac"
"443","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ilang"
"1433","Negatif","sing ngomong nek jangan sok kuat nek paksin nggo sinovac kuwi cangkemee sing ra iso syukur wes nehi vaks"
"1265","Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat me"
"1223","Netral","kkm lulus guna vaksin keluar sinovac remaja berita hari"
"1118","Netral","adakan vaksin vaksin gelombang sinovac"
"559","Positif","jenis vaksin stasiun cirebon sinovac kak trims"
"1454","Positif","vaksin pfizer astrazeneca wilayah mustika jaya sini puskesmas mustika jaya sedia v"
"821","Netral","cari vaksin booster ou sih mreka dapet sinovac bayar tidak deh"
"1400","Netral","serbu vaksin covid tni wilayah koramil cluwak jenis vaksin sinovac dosis orang wa"
"283","Positif","layan vaksinasi vaksin sinovac dosis dosis kuota p"
"240","Positif","vaksin sinovac vaksin nya moderna tu gaboleh"
"903","Netral","rekomendasi izin masuk ajar internasional negara sep"
"759","Positif","sinovac walopun en vaksin kaya"
"310","Netral","vaksin nder sinovac as kalausinovac jarak kalauastrazeneca jarak"
"784","Netral","jatimulya puskesmas jatimulya vaksin sinovac pfizer dosis syarat ktp domisili jatimulya"
"622","Positif","spore orang rela bayar vaksin sinovac pfizer moderna pemerintah"
"1032","Netral","eh nek awak due informasi vaksin sinovac dosis kabar tulungg makasoyy"
"550","Positif","vaksin dapet sinovac efek samping laper tidak"
"370","Positif","kalausinovac sih laki pas vaksin ny telat minggu tidak kalaubelom jadwal vaksin tidak"
"72","Positif","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"808","Positif","suasana vaksinasi selenggara ika universitas airlangga selenggara"
"1407","Positif","wahh moga keluarga sehat keluarga alhamdulill"
"913","Netral","tidak ngantri ngambil formulir na vaksin sinovac gataunya astrazeneca"
"1284","Netral","uaf teman mana vaksin sinovac"
"662","Positif","eh pakai vaksin pakai sinovac hati tenang deh"
"1352","Negatif","china sumbang vaksin sinovac malaysia"
"929","Netral","kmaren mintain surat rekomen jantung vaksin ibu takut e"
"884","Netral","vaksin ama dosis sinovac umur umur say"
"1323","Negatif","vaksin sinovac positif masuk rumah sakit"
"1080","Positif","sayang koleksi data bukti"
"978","Netral","australia buka batas traveler vaksin sinovac boleh masuk sa"
"512","Positif","sumpah vaksin moderna dapetnya mana siiiiih jwb tolong tidak vaksin sinovac m"
"1239","Positif","informasi jadwal lokasi vaksin sinovac garut gratis"
"904","Positif","akuu vaksin sinovac alhamdulillah udah vaksin kali gapapa pas selesai vaksin tidak gejala aneh apa"
"586","Netral","ins besok jadwal vaksinasi covid masyarakat jenis vaksin"
"734","Netral","informasi tidak vaksin dosis sinovac daerah cipondoh"
"760","Positif","informasi sedia vaksin sinovac desa jejalen kabbekasi"
"1126","Positif","vaksin nder sinovac iya laper ngantuk"
"480","Negatif","sesal pas ditawarin ibu pkm boster po mbak tidak papa nek in"
"1113","Netral","tidak efek nya sih pusing gara lapar kaya vaksin sinovac ngomong ngomong"
"945","Negatif","vaksin massal dosis sinovac royal plaza surabaya sedia dosis surat domisili"
"621","Positif","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca beri"
"769","Netral","vaksin dosis sinovac huhu tt"
"156","Positif","bang bon belum vaksin hasil vaksin kali sinovac hasil mea"
"52","Positif","vaksin sinovac vaksin indonesia simak manfaat vaksin lawan palsu vaksin"
"497","Netral","bisa vaksin ama sinovac astrazeneca"
"1412","Positif","raja bangun pelan strategik bangun vaksin negara umum perdana menteri"
"1177","Netral","jangan lupa ambil vaksin adikadik"
"775","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"1158","Netral","vaksin semarang jenis sinovac"
"544","Netral","jbrfess informasi vaksin sinovac dosis jember gais"
"388","Netral","vaksin ama dosis jenis sinovac"
"147","Netral","dapetnya sinovac beda vaksin sih"
"905","Positif","lanang vaksin sinovac rak gentle banget"
"967","Negatif","asli pabrik vaksin kadaluarsa ijin darurat bpom d"
"1278","Netral","sinovac yakkum bareng lansia gara otg nunggu informasi baru kalauskrg positif"
"221","Positif","vaksin sinovac halal"
"827","Negatif","eddy yoshawirja warga bilang pecinan kota bandung warga usia lansia teua"
"881","Netral","jadwal vaksin jogja kulon progo sinovac dosis link daftar tidak"
"972","Netral","ibu riwayat daing coba vaksin sinovac dosis ama alh"
"12","Positif","malam ambil vaksin sinovac suami alhamdulillah rsa okay jedoakan sihat moga vaksin penawar"
"1287","Negatif","update informasi vaksin covid bogor puskesmas leuwisadeng pakai sinovac"
"629","Positif","vaksinasi lur silah sederek teman keluarga belum vaksin buka daftar vaksinasi sinovac k"
"834","Positif","ayo hadir gerai vaksin tni polri laksana"
"584","Positif","supposed hotline dapat informasi number reach lahluar"
"274","Positif","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu tukar"
"53","Negatif","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat"
"703","Negatif","informasi vaksin sinovac dosis jogja"
"1425","Netral","ananda smp alami sakit dada sebelah kiri pasca vaksin dosis p"
"1468","Positif","warga kota slawi antusias suntik vaksin sinovac dosis puskesmas slawi kabupaten"
"1226","Netral","informasi vaksin sinovac pfizer bogor puskesmas ciseeng dosis kuota"
"162","Negatif","vaksin habis covid belum genap gapapa karawang available sinovac yowis"
"1366","Netral","via vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"1269","Netral","aing vaksin ci nya sinovac"
"1066","Positif","stok dikemaskini kuantiti jenis keychain guyyss jenis rm jer keychain vaksin"
"152","Netral","ais kasih vaksin kebal koped kalaulisa mah pakenya sinovac lisa doang larang"
"357","Netral","angka efikasi sinovac peran wave junijuli kontra"
"11","Negatif","pasca vaksin sinovac dosis bulan kontak terkonfirm"
"76","Negatif","jadwal vaksin covid tangerang selatan jenis sinovac dosis"
"1119","Netral","sinovac vaksin nama sinopec mav jangan gas newbie"
"1206","Negatif","menteri kesihatan malaysia kkm lulus guna coronavac keluar sinovac life science"
"496","Netral","vaksinasi merdeka rentak pesantren rumah ibadah laksana ber"
"238","Positif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"1041","Netral","iyaaa sinovac kabar dapet vaksin booster kal"
"409","Positif","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"259","Negatif","wahhh anak sinovac ama tidak sik normal"
"796","Netral","vaksin mung sinovac sok kemlinthi le"
"184","Negatif","besok juta hari rutin dapat sinovac tidak hati"
"100","Negatif","tetangga pekan vaksin dosia sinovac alami dengkul lemas tidak nafsu makan mual kalaumakan"
"885","Netral","wibpolresta bandara soetta jajar tni stakeholder laksana"
"1381","Positif","akibat amuk wargaterjadi rusak posko gerai vaksin vial vaksin dosis v"
"1249","Positif","guna vaksin keluar kalangan usia utama kepa"
"1405","Negatif","serbu vaksin covid tni wilayah karamil pucakwangi jenis sinovac dosis puskesmas pucakwangi i"
"256","Negatif","oh iy vaksin sinovac dosis rasany dugun banget literally pergi"
"565","Netral","oxford astrazeneca pfizer biontech moderna janssen kayak sinovac mesti udah vaksin booster dul"
"558","Positif","polsek kedungwaringin pkm kedungwaringin gelar vaksinasi tahap vaksin jenis sinovac halaman mako"
"830","Negatif","asline iki ultramentapi bar vaksin sinovac kuat ilang"
"773","Netral","mosok biduren mergane vaksin sinovac"
"1277","Negatif","update vaksin covid bogor sinovac puskesmas cangkurawok kuota"
"1111","Positif","dosis vaksin sinovac laksana vaksin covid pmi kabupaten sragen rab"
"1291","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"668","Netral","vaksin sinovac bandara juanda surabaya dosis kuota dosis daftar link online"
"372","Netral","pahit manis ppv integrasi idcc shah alam beri vaksinasi"
"522","Netral","olohh hahahhaah bangsa astrazeneca pfizer sinovac hurm skrng vaksin bangsa"
"160","Positif","aussie vaksin kak bukan tinggal indonesia syarat vaksin"
"1090","Netral","alami reaksi pemantauan b"
"224","Positif","mjb kalauudah vaksin sinovac kali vaksin booster vaksin sinovac"
"618","Netral","teman informasi vaksin sinovac daerah tangerang dosis belum nemu"
"1439","Netral","vaksin sinovac"
"917","Positif","pesea dosis lebih terima dosis sinovaccoronavac pasti bawa kau vaksin"
"711","Netral","vaksin dosis sinovac kouta dimnaa"
"588","Netral","putus australia aku vaksin sinovac angin segar wisatawan internasional asal asia te"
"709","Negatif","informasi vaksin covid bogor massal puskesmas caringin pakai pfizer sinovac"
"333","Netral","abis vaksin pegal ngantuk doang sih malemnya ngomong ngomong sinovac dapetnya"
"1236","Negatif","vaksin moderna takut after effectsnya sinovac kali"
"575","Positif","juta dosis vaksin rakyat china umur"
"691","Negatif","hai nak walkin second dose klinik kesihatan kuala lumpur klinik kesihatan menawarkan"
"188","Negatif","besok juta hari rutin dapat sinovac tidak hat"
"1137","Positif","untumg tidak vaksin info sinovac tidak maren badan tidak fit"
"1312","Positif","kalaubelom vaksin pilih vaksin pilih pfizer tau effectivity r"
"585","Negatif","rem sender giring opini kalauselain sinovac seram apa vaksin baik"
"660","Netral","informasi vaksin sinovac bogor puskesmas cijujung kuota orang"
"1006","Positif","oalah sinovac enak banget vaksin pas suntik tidak asa efek pegal"
"964","Positif","indonesia gilir malaysia izin vaksin sinovac remaja baca lengkap"
"1459","Negatif","efek vaksin sinovac pusing mata kabur gtuagak pegal lebam bekas suntik kasi makan mual d"
"1047","Positif","vaksin dspetnya sinovac pupu astrazeneca"
"6","Positif","jog informasi vaksin sinovac kalauboleh lengkap mesti bawa lokasi vaksin a"
"603","Positif","na vaksin pakai sinovac emng vaksin lgi pakai astrazeneca"
"1189","Positif","insya allah aman rey abis vaksin sinovac reakainya ngantuk banget laperan banget"
"1094","Netral","minimal vaksin astrazeneca moderna kalauvaksinnya sinovac skip"
"1166","Negatif","remaja usia benar ambil vaksin jenis sinovac lepas kelulus kkm"
"319","Positif","dosis vaksin sinovac siap vaksinasi tahap ama"
"406","Negatif","untuk tni nyuntikin vaksin sinovac set mo bilang bapak made my"
"490","Negatif","informasi jadwal vaksin covid sinovac dosis garut buka"
