"","klasifikasi","x"
"557","Negatif","vaksin sinovac gel"
"287","Negatif","kalauvaksin tu mending sinovac pzjehtjwkfjwjdjs sih"
"614","Negatif","so aussie benar lancong lengkap vaksin sinovac azyang hang iya nak anjing pfizerian nah pulak"
"1169","Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac p"
"329","Positif","efektif sinovac guru guru vaksin booster"
"487","Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha ah terminal"
"855","Positif","tolong baca tulis sinovac vaksin ama"
"851","Positif","yth segenap warga ngestiharjo saudara warga domisili ngestiharjo belum vaksinasi covid kuti"
"858","Positif","beempat kampus feb untan vaksinasi covid tahap kali hasil capai angka vial sinov"
"619","Positif","zen catat surat keteranganp dokter tidak terima vaksin sinovac astrazeneca"
"576","Positif","transma yasmin bogor polresta bogor kota adakan vaksinasi massal usia"
"990","Netral","lha ktp ku semarang vaksin nag sidoarjo jatim yo iso ik sinovac"
"1023","Negatif","guna vaksin sinovac golong remaja umur benar ketua arah kesihatan"
"1127","Positif","vaksin ve sinovac aman"
"316","Netral","buka layan vaksin jenis sinovac halaman mako polsek kedungwaringin pkm kedungwaringin relawan va"
"1075","Netral","asli"
"1417","Positif","klinik udah tidak ngelayanin vaksin cari informasi vaksin pmi deket sinova"
"1314","Positif","mnku sinovacpfizer vaksin sih"
"650","Netral","butuh vaksin kota padang moderna sinovac pfizer tinggal daftar"
"1482","Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin peduli keluarga"
"811","Positif","pemerintah stok vaksin covid produsen vaksin beli pem"
"955","Positif","udah vaksin dosis sinovac sih aman inti janga"
"282","Netral","nemu vaksin sinovac dosis"
"1167","Netral","jog informasi vaksin dosis sinovac dosis d jogja jadwal dosis nya besok"
"285","Netral","pakai merk vaksin ka sinovac"
"1072","Netral","gapapa jarak vaksin at least sinovac jarak"
"501","Netral","besok vaksin ktp kabupaten bandung stadion jalak harupat gaiss dosis pakai sinovac"
"511","Positif","layan vaksinasi dosis sinovac vaksin ama berlaku masyarakat ktp"
"1319","Netral","wkwkw udahh vaksin sinovac suruh moderna nunggu kesiap hati"
"536","Positif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea"
"693","Netral","tementemen informasi vaksin sinovac kalauada infoin yakk bantu temen nyariin soale"
"988","Positif","dosis vaksin sinovac laksana vaksin covid pmi kabupaten sragen"
"1238","Positif","tu janji budak sekolah nak vaksin dghisham cakap remaja"
"737","Negatif","vaksin kali pas tidak sinovac tidak hehe"
"1363","Netral","dinkes kota kendari terima dosis vaksin sinovac buka layan"
"1370","Netral","vaksin gtlt sinovac astrazeneca"
"1067","Positif","iya pakai vaksin sinovac tidak kena asma izin vaksin"
"1025","Positif","vaksin sinovac gratis ampminggu vihara avalokiteswara kelbanten keckasemen kota serang"
"29","Negatif","informasi vaksin sinovac dosis malang"
"838","Netral","rumah dosis vaksin steady simptom kecuali ama mak am"
"233","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ilang"
"1317","Negatif","kena covid mas komorbid jantung stroke alhamdulilah baikb"
"573","Netral","vaksin covid lupa baca biofarm produks"
"369","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silahka"
"451","Negatif","gapapa vaksin sinovac"
"86","Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moder"
"327","Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"355","Netral","aman datang vaksin sinovac jakaa pesawat lion air jt bawa"
"812","Negatif","jangan kakean cangkem asline ki turun prabu siliwangi bar vaksin sinovac kuat ilang"
"1073","Netral","jenis vaksin sinovac"
"361","Netral","jenis vaksin sinovac astrazeneca moderna"
"1340","Negatif","kota surabaya vaksinasi gelar lapang thor kompleks gelora pancasila target dosis va"
"1266","Netral","w sinovac vaksin beda bedaa"
"758","Netral","batuk udah bulan dalam vaksin sinovac nder tawa"
"818","Negatif","jog tidak sih ambil vaksin sinovac tidak gejala apa sakit pegal enggasumpah enak banget dik"
"247","Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"751","Positif","dosis vaksin sinovac vaksinasi tahap i i ajar mukomuko besok"
"219","Netral","wkwkw vaksin sinovac"
"135","Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharj"
"1457","Positif","review vaksin sinovac tidak kaya banyak orang abis vaksin laper tang bekas suntik nya sakit terminal"
"1455","Netral","lu vaksin sinovac astrazeneca"
"377","Netral","bolehh kalauragu pending gapapa pei pas w vaksin sinovac ama tugas ngasi"
"408","Positif","vaksin jadwal camat ku belum rsud"
"1399","Positif","anggota koramil swl serda nuryadi laksana damping giat vaksinasi covid"
"912","Netral","sinovac vaksin sekolah"
"467","Netral","dapetnya vaksin sinovac astrazeneca"
"130","Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharja"
"1089","Negatif","rasain pas vaksin sinovac nyeri memar"
"359","Positif","rangka ingat hut tni tni bais badan intelijen strategis gelontor vaksin jenis s"
"105","Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis ama vaksin"
"1148","Netral","vaksin sinovac wkwkwkwkk dapet sisa kuota dosis kampus barusan banget"
"1101","Netral","asli dar"
"1242","Netral","alhamdulillah lepas cucuk vaksin sinovac cari self reward"
"1218","Netral","adik adik jangan takut ambil vaksin kena gigit semut je"
"19","Positif","vaksin sinovac dosis alami ayok bagi vaksin"
"273","Negatif","wkwk sumpah sok keren banget dapet vaksin sinovac konsultasi dokter sakit bawaa"
"418","Positif","ngomong ngomong pikir pikir syukur indonesia vaksin utama dosis banyak sinovac cerita temen suntik ast"
"419","Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh"
"867","Netral","siswa smk yapisda ikut vaksin sinovac danramil cisoka kapten inf jefriansen sipayung proses"
"686","Negatif","kayak teori indonesia pakai sinovac biar vaksin apalag"
"403","Positif","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sino"
"1040","Positif","ktp ku wonosobo vaksin nng depok sinovac seifikat aman"
"1064","Positif","siswa sman sragen jalan vaksinasi covid vaksinasi laksana"
"1360","Netral","vaksin sinovac dosis kaltim pos mall lembuswana link kalauada share"
"604","Positif","yapsss banget sempet mikir kaya gin sinovac minim banget reaksi trutama l"
"634","Positif","suka pilihpilih vaksin hayo ngaku awalawal en nungguin vaksin a"
"664","Positif","ihh asli en vaksin sinovac tidak mana abis paksa moderna butuh"
"1162","Netral","vaksin sinovac lulus remaja usia via"
"719","Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"500","Netral","belum vaksin bingung vaksin saran mending sinovac denger o"
"997","Negatif","besok vaksin ah nunggu moderna sinovac ajadeh"
"761","Netral","tidak vaksin ama sinovac"
"672","Positif","belum malaysia banding efektivitas vaksin sinovac pfizer vaksin astrazeneca hasil"
"229","Positif","masyarakat imbau tidak pilihpilih vaksin il a heures vaksin covid"
"423","Positif","vaksin kepengen vaksin astrazeneca sinovac tidak apaapa vaksin"
"421","Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sin"
"989","Negatif","sing vaksin e sinovac ra sok keraskoyo ngenei astreav"
"140","Positif","informasi wajib baca giat vaksinasi masyarakat berlaku warga"
"126","Netral","sinovac murah siap ro orang keluarga vaksin pandemi mas"
"998","Netral","beda vaksin moderna sinovac teman"
"1333","Positif","surat edar hki kemenkes vaksinasi dosis tiga nakes gu"
"271","Positif","datang juta dosis vaksin sinovac pemerintah pasti stok vaksin aman"
"1154","Netral","teknoloji mrna punya kesan samping kuat suai golong komorbiditi sinovac l"
"577","Netral","coronavac vaksin sinovac vaksin sekolah soalnyaa"
"504","Positif","yakin ckp kali"
"358","Netral","kedatngan vaksin sinovac bandara intl pesawat lion air jakaa"
"785","Negatif","ribu dosis vaksin sinovac buang siasia aceh tenggara garagara warga"
"127","Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis a"
"645","Positif","keluarga terima vaksin sinovac temanteman banyak astrazeneca dap"
"1065","Netral","kkm lulus syarat guna vaksin coronavac keluar sinovac remaja"
"987","Positif","vaksin sinovac aku warga indonesia masuk australia"
"305","Netral","tolong informasi vaksin dosis astrazeneca tidak kabupaten semarang banyak sinovac moderna"
"413","Netral","patroli personil polsek jabiren raya cek aman vaksin sinovac"
"981","Negatif","siapsiap umrah jangan lupa vaksin jangan sinovac arab produk cina arab saudi longgar"
"1404","Positif","ayo ayo belum vaksin vaksin pfizer dosis sinovac dosis tol jagorawi rest area pe"
"1432","Positif","serbu vaksinasi gencar kodim bone denkesyah bone kali sasar sman"
"309","Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"1467","Netral","vaksin dosis ama sinovac done"
"1002","Positif","alhamdulillah mama vaksin random lgsg telpon mama suruh vaksin doi lgsg puskes dekat"
"441","Positif","mesti daftar pedulilindungi langsung dateng vaksin s"
"856","Positif","kalauyg sinovac vaksin tidak sih moderna nakes"
"1141","Positif","hasil vaksin sinovac"
"1298","Netral","vaksin sinovac suntik warga pakai astrazaneca"
"470","Negatif","emang vaksin ulang kalausetauku sinovac bulan kalauastrazeneca"
"562","Positif","ipda wasirin bhabinkamtibmas anggota laksana aman giat vaksinasi tahap vaksin jenis"
"349","Netral","orang ikut vaksin pfizer tahap orang ikut vaksin sinovac tahap ama gedung s"
"1096","Netral","sinovac yah cmn kali vaksin"
"894","Negatif","gws elnim vaksin ama demam ngomong ngomong vaksin astrazen sinovac"
"590","Negatif","oooooo suntik sinovac tidak demam kakak kayak vaksin astrazeneca efek samping mi"
"474","Negatif","bukan tu mentioned ramai mati sbb vaksin sinovac tk mati lak brap"
"168","Positif","ayo dukung vaksinasi pandemi lalu patuh prokes m"
"1388","Positif","iyasih astrazeneca rem kantor vaksin astrazeneca jatah libur hari sinovac budak haha"
"1386","Positif","laksana giat pam suntik vaksin vaksin jenis merek vaksin sinovac uptd puskesmas rantau"
"840","Positif","jujur nder vaksin sinovac tidak efek apa kaya ngerasa laper kalausampe d"
"952","Positif","vaksin astrazeneca vaksin sinovac besok titan"
"455","Negatif","vaksin sinovac ngantuk pegal demam"
"356","Netral","angka efikasi sinovac peran wave junijuli kontra vaksi"
"1258","Negatif","informasi vaksin covid massal bogor camat tanjungsari pakai sinovac pfizer"
"1450","Positif","informasi lokasi vaksin daerah solo dosis sinovac informasi"
"73","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang"
"15","Positif","suntik vaksin sinovac sekolah alhamdulillah sehat pei hadeh orang"
"62","Netral","dokter bilang vaksin sinovac nya maju mundur"
"390","Positif","informasi vaksin gratis kota palangkaraya kalimantan sinovac"
"1059","Positif","jenis vaksin i tau ku vaksin sinovac sakit"
"381","Positif","tidak vaksin k pas reddays vaksin sinovacefeknya ngantuk laper"
"77","Positif","negara terima datang vaksin sinovac banyak negara l"
"1471","Negatif","kalauke eropa tau ku tidak terima vaksin sinovac sana vaksin ulang iya mimpi"
"665","Positif","papua at least udah vaksin sih sinovac smua"
"31","Positif","vaksin pasti jenis vaksin sinovaccorona vac jarak vaksin ama vaksin"
"549","Netral","nyesel vaksin pakai sinovac tidak ln wow"
"743","Positif","bagus nder tidak bagus kalauudah vaksin sinovac tidak ganti nder yakin sih bagus"
"1052","Negatif","nyobain astrazeneca kali astrazeneca kali pfizer vaksin sinovac kali sinovac kali moderna"
"1273","Positif","kak maaf orang taiwan vaksin sinovac tidak"
"1172","Positif","anak udah tiket vaksin app tidak mana vaksin nya cek nya d"
"797","Positif","coba puskesmas nder vaksin daerah astraz sinovac bawa"
"1151","Netral","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis vaksin c"
"1441","Positif","pesea sehat sintas gejala ringan minimal nyata sembuh belum pe"
"961","Negatif","vaksin sinovac asma tidak parah banget kambuh nggapapa buatt vaksinn"
"334","Netral","sinovac vaksin ama lengan bekas vaksin pegal doang vaksin tidak efek samsek"
"1362","Netral","belum tingkat bor ind"
"93","Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"714","Negatif","sih nder pas vaksin sinovac demam minggu"
"610","Positif","just informasi teman vaksin atur mana i vaksin nya jangan sinovac mostl"
"33","Negatif","gejala vaksin moderna parah banding vaksin sinovac demam"
"1020","Netral","informasi vaksin dosis sinovac daerah sukamulya kabupaten tangerang bestie kalaubisa tidak mandang domisili s"
"437","Netral","oalah kalah orang desa kayak alhamdulillah kali vaksin sinovac tidak efek biasa"
"1293","Negatif","anw vaksin ama pegal lebam cuy sinovac"
"1423","Positif","belum vaksin ayo rapat markas pmi kabupaten lombok timur sedia vaksin sinovac dosis dosis"
"217","Positif","selamat vaksin dosis sinovac sedia"
"792","Netral","besok adaa jadwal vaksin covid jenis vaksin astrazeneca sinovac beempat puskesmas sukagum"
"805","Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen beri boo"
"108","Negatif","sih nder kalauvaksin udah jenis sinovac vaksin nya sinovac bukan"
"1313","Netral","jarak vaksin sinovac ama sih"
"1358","Netral","smp neger kaliwungu vaksinasi rentak pesea didik tonton video jangan lupa subscribe like com"
"209","Positif","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis ama j"
"1007","Positif","mas bbbrp jurnal neger bahas efektifitas vaksin trhdp varian delta bagus mod"
"568","Positif","pharmaniaga had jamin bapa bahawa vaksin covid sinovac kanakkanak"
"1296","Netral","kalauseifnya vaksin sinovac coba ngechat engkoh bantu nder"
"1264","Netral","whatttt orang taiwan china gamau sinovacpiye iki makasih ka"
"768","Netral","vaksin atuh om jack kalaugini dapet sinovac massal a"
"201","Positif","dips vaksin dosis coronavacsinovac disemarang ktp semarang tidak lihat web victori mar"
"916","Positif","ayan vaksinasi covid dosis warga lurah juang laksana vaksin dosis jen"
"116","Negatif","sinovac sinopharm inactivated whole virus ukur lab srbd"
"643","Positif","sinovac kak benar tidak pilah pilih vaksin dukung sabang merauke"
"879","Negatif","rasah kakean cangkem ki asline untramentp bar vaksin sinovac wingenane kuat ilang"
"1022","Negatif","informasi vaksin covid massal bogor polsek caringin pakai sinovac dosis masyarakat"
"1221","Positif","situbondo gencar semangat serbu vaksinasi covid dosis kodim situbondo jenis vaksin"
"462","Positif","apresiasi antusiasme masyarakat vaksin presiden joko widodo tinjau laksana vaksin massal sorong"
"1479","Positif","buka daftar vaksinasi depok periode jenis vaksin sin"
"235","Netral","tolong keluarga kaga vaksin gamau sinovac j"
"513","Positif","personil polsek sanden pimpin kanit provos iptu suharyanto laksana aman monitoring vaksinasi covid"
"173","Positif","alhamdulillah vaksin dosis ama desa sebelah sinovac suami adik ipar sbg apara"
"1107","Positif","vaksin pulih nusantara validasi sinovac who bukti vaksin aman ruji mutu"
"407","Netral","vaksin nya sinovac kalaudi sih nder"
"324","Positif","vaksin sinovac oke lemesin lengan bismillah kak nakes suntik vaksin lengan"
"731","Negatif","habis covid udah vaksin lt baik udah sinovac modern"
"185","Negatif","bingung vaksin sinovac astrazeneca enak"
"895","Negatif","asline iki ultramen tpi mari vaksin sinovac kuat ilang v"
"765","Netral","seifikat vaksin tidak tulis sinovac musti coronavac tidak diakuin"
"1204","Netral","ketua arah kesihatan tan sri noor hisham abdullah perkara dipersetujui mesyuarat"
"464","Positif","brand test kit contoh test kit a detect spike protein test kit b bole"
"493","Positif","faktor vaksin distribusi cepat pei hal sinovac bukan adu"
"675","Positif","sing vaksin e sinovac rasah maki ngene astrea grandneva"
"966","Netral","asline ultramen due kuat mbuh nopo bar vaksin sinovac kuat nerf entek an"
"444","Netral","informasi daftar vaksinasi covid poliklinik vaksin rsud kelet layan vaksinasi covid sinovac a"
"1191","Negatif","pbkd sar guna sinovac kalangan remaja usia"
"49","Negatif","gimana kalaumau negri vaksin sinovac negar"
"291","Netral","comment nder vaksin sinovac potensi titan biar ketar tir aneh emang top"
"653","Positif","pearuhan jenius tim diplomasi longterm baik"
"1359","Netral","tt huhuuu thanks vaksin sinovac"
"434","Positif","buka sempat vaksin dosis sinovac khusus warga ktp sukoharjo vaksin"
"741","Negatif","sinovac udah akuin who fega belanda diakuin maslahnya seifikat vak"
"880","Positif","vaksin gapapa ambil sinovac efek ringan kon"
"936","Netral","wuahahaahah ama vaksin moderna wkwkwkwk kirain sinovac"
"674","Negatif","keluarga vaksin sinovac doang nya kota emang efek tidak"
"836","Positif","ayo hadir gerai vaksin tni polri laksana w"
"56","Positif","malaysia terima bekal ama vaksin coronavac liter hantar terminal"
"1049","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"934","Netral","nenek hipeensi minggu vaksin minum obat ht nya atur pola ma"
"1105","Netral","informasi vaksin sinovac mustika jaya bantu repost"
"1410","Netral","halo depok citayem raya informasi vaksin sinovac banget citayam center lgsg cus k"
"494","Positif","takut suntik inovasi vaksin plester solusi"
"1194","Netral","udah tetangga update vaksin sedia puskesmas dekat rumah sinovac"
"918","Netral","peristiwa tenaga sehat alami luka dosis vaksin sinovac rusak"
"104","Netral","ayo vaksin astrazeneca dosis sinovac dosis biddokkes polda kepri kepri mall"
"1027","Negatif","nampaknya vaksin astrazeneca zeneca kesan awal covid kait beku darah blood clot"
"659","Positif","vaksin astrazeneca efek sinovaclapar ngantuk meriang esok hari itu"
"161","Positif","sinovac bukan vaksin dosis pegal banget tang vaksin ama tidak pegal"
"384","Netral","lu vaksin pfizer sinovac doang eh under"
"436","Netral","vaksin sinovac umur kah"
"1307","Netral","nder vaksin sinovac saranin jangan pergi tubuhm"
"260","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"717","Netral","hahahah kmren ditawarin bilang maksude vaksin sinovac maneh peng opo w"
"60","Positif","gerai vaksin camat pondok gede lokasi vaksinasi balai warga sigma rw lurah jatimakmur giat vaksin p"
"448","Netral","informasi vaksin dosis sinovac area klaten jogj tidak sie"
"488","Negatif","sinovac beb d vaksin tidak nefek jangan mati"
"181","Netral","pas nganter anak vaksin bbrp pfizer astrazeneca suami sinovac alhamdul"
"1157","Negatif","feeling engkuk masuk kabupaten s iki ng malang"
"1207","Positif","u budiw babinsa koramil kemiri damping suntik vaksin sinovac tenaga sehat"
"676","Netral","temen ku vaksin pfizer rata efek samping nya kayak sinovac doang bestie tidak imun terminal"
"1447","Netral","puri begawan vaksin dosis kook sinovac"
"611","Netral","vaksin covid sinovac gratis sentul catat syarat tanggal"
"148","Netral","mohon informasi vaksin dosis sinovac gaa kalauada informasi mana"
"150","Positif","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin"
"121","Positif","terusi analisis aefi juta vaksin profil lama"
"169","Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"598","Netral","vaksin sinovac"
"1243","Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"767","Negatif","anak belanda tidak vaksin sinovac xbukti autentik"
"530","Negatif","informasi vaksin sinovac dosis catat a jangan lupa bawa syarat"
"1115","Netral","kodim sleman selesa vaksinasi dosis sasar sleman komando distrik mil"
"164","Netral","udah vaksin sinovac"
"51","Positif","bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan bina upt puskesmas i"
"119","Positif","vaksin sinovac kali tidak efek samping samsek i guess i could call myself lucky parno asa tidak vaksin"
"1435","Positif","alhamdulillah vaksin ama petugasanya kipi pasca vaksin tidak vaksin sinovac kip"
"1321","Positif","vaksin sembuh bangsa validasi sinovac who bukti vaksin aman ruji mutu"
"1327","Negatif","malaysia bekerjasama syarikat bangun vaksin covid cansino sinovac bangun vaks"
"1270","Negatif","syarat vaksin covid bogor sinovac puskesmas cangkurawok besok cek info"
"1185","Positif","kkm bersetuju kelulus syarat guna vaksin coronavac keluar sinovac life scienc"
"89","Netral","kalauvaksin astrazeneca jeda vaksin banget ade sinovac skrng udah vaksin duluan belum"
"533","Negatif","vaksin sinovac efek lemes banget mual kepala berat tang kiri lemah banget hu"
"591","Netral","pakai sinovac tidak asli pegal lihat bokap vaksin tiga pakai a"
"704","Negatif","vaksin covid bogor massal puskesmas kemang pakai sinovac masyarakat"
"846","Netral","aneh orang tu mah en nya pfizer astrazeneca moderna tap"
"1095","Netral","adekku tim sinovac abis vaksin langsung nyuci piring jemur baju tidak asa"
"315","Positif","aneh kemarenkemaren tidak vaksin dikatain udah vaksin ratara"
"1357","Negatif","vaksin sinovac ngerasain pegal"
"1406","Positif","informasi vaksin dosis astrazeneca tidak istri vaksin ama poltekesyo"
"570","Netral","naahhh mksdnya iya dok bahan"
"832","Negatif","sekedar butuh seifikat pakai sinovac tidak percaya vaksin ribet m"
"1308","Netral","wkwkwkwkkw manifest nuker vaksin sinovac sianjing"
"1248","Netral","awal vaksin covid personil satlantas polres ngada laksana aman awal vial vaksin"
"1305","Netral","sd islamic center brebes vaksina"
"633","Negatif","halo barangkali admin followersnya informasi vaksin dosis sinovac uin malang tunda"
"281","Netral","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sinovac melep"
"1233","Netral","kkm lulus vaksin sinovac remaja"
"1329","Negatif","kena covid mas komorbid jantung stroke alhamdulila"
"724","Netral","update informasi vaksin sinovac pfizer dosis bogor kuota orang"
"5","Netral","sd selesai kopda agung ariyadi babinsa juwok koramil sukodono lakgiat damping"
"492","Negatif","wes tidak vaksin pakai pfizer mrna ngeri sinovac tidak alergi terminal"
"20","Positif","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac astr"
"1382","Negatif","imunogenisitas vaksin sinovac turun persen ama kali suntik tubuh"
"1103","Netral","kalauvaksin nyo pakai astrazeneca jaraknyo kalausinovac jaraknyo"
"514","Positif","pahit manis ppv integrasi idcc shah alam beri vaksinasi samada vaksin astrazeneca sinov"
"828","Positif","piem mail negara tuju terima rakyat lengkap vaksin sinovac awak terminal"
"69","Netral","serda kokok juang nadili babinsa desa poleng laksana giat damping serbu vaksin covid dosis l tah"
