"klasifikasi","x"
"Positif","team vaksinator satbrimob polda kalsel gelar serbu vaksin presisi pondok pesantren wali"
"Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat"
"Netral","kalauvaksin astrazeneca jeda vaksin banget ade sinovac skrng udah vaksin duluan belum"
"Positif","alhamdulillah rumah vaksin abah pfizer kakak istri astrazeneca me sinovac sehat"
"Positif","laksana vaksinasi keliling tahap tahap keltanjung marulak hilir kecrambutan vaksin sinovac ut"
"Positif","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin sinov"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"Netral","umum vaksinasi dosis sinovac laksana puskesmas pakis ditund"
"Negatif","informasi vaksin malang dosis sinovac makasih komen gkb"
"Negatif","tetangga pekan vaksin dosia sinovac alami dengkul lemas tidak nafsu makan mual kalauma"
"Netral","sd selesai beempat namang laksana p"
"Netral","cak ayo vaksin sinovac dosis ndek gressmall ikut vaksin ama sinovac ta a"
"Positif","goh bak na bawa pusat beri vaksin ppv hospital pakar komuniti ipoh pcsh teman ahli keluarg"
"Negatif","tetangga pekan vaksin dosia sinovac alami dengkul lemas tidak nafsu makan mual kalaumakan"
"Negatif","hah vaksin bukan sinovac remaja sinovac"
"Netral","iyaalaahh kalaubeda ntr tubuh belum biasa vaksin sinovac pas kasih beda jenis tmbh ambyarr"
"Negatif","kalauvaksin ama sinovac vaksin sinovac kah"
"Netral","ayo vaksin astrazeneca dosis sinovac dosis biddokkes polda kepri kepri mall"
"Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis ama vaksin"
"Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat jenderal kpu"
"Positif","anti banget vaksin ujungujungnya suruh milih sinovac astrazeneca moderna pilih jat"
"Negatif","sih nder kalauvaksin udah jenis sinovac vaksin nya sinovac bukan"
"Positif","benar temenmu kalausudah vaksin pakai sinovac tidak move vaksin"
"Positif","nder oot adek vaksin sinovac covid udah vaksin k"
"Positif","gratis vaksin sinovac moderna pfizer hamil"
"Netral","jenis vaksin sinovac astrazeneca moderna"
"Netral","hello nd dose adik ubah bacc kakak ampang ada bacc khas vaksin"
"Positif","mukomuko terima tambah dosis vaksin sinovac news bengkulu"
"Positif","goh bak na tinggal taman sin far bawa pusat beri vaksin ppv hospital pakar komu"
"Negatif","sinovac sinopharm inactivated whole virus ukur lab srbd"
"Positif","alhamdulillah udah suntik vaksin sinovac dosis ama"
"Negatif","vaksin sinovac sinopharm tugas sinopharm udah bawa puskesmas sinovac"
"Positif","vaksin sinovac kali tidak efek samping samsek i guess i could call myself lucky parno asa tidak vaksin"
"Netral","ayo intip beda vaksin astrazeneca sinovac"
"Positif","terusi analisis aefi juta vaksin profil lama"
"Netral","warga singapura ramairamai pilih sinovac sinopharm vaksin booster"
"Netral","sinovac murah siap ro orang keluarga vaksin pandemi"
"Netral","sdf rek informasi vaksin dosis sinovac area waru"
"Negatif","bacot asli ultramentapi gara gara vaksin sinovac kuat hilang"
"Netral","sinovac murah siap ro orang keluarga vaksin pandemi mas"
"Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis a"
"Netral","impoir vaksin sinovac"
"Netral","yaallah nonton konser vaksin sinovac"
"Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharja"
"Netral","orang peikai menteri diskriminasi orang vaccinated non vaccinated jenis vaksin kena discr"
"Netral","vaksin sinovac senjata utama republik indonesia penangana pandemi karantina republik indonesia in"
"Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk"
"Negatif","vaksinasi dosis drive thru fk kmk ugm gelar sleman komando distrik militer sleman b"
"Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharj"
"Positif","syukur alhamdulillah udah baik emang baik istirahat abis vaksin"
"Positif","laksana vaksinasi kodim pati jenis vaksin sinovac puskesmas tambakromo sasar vaksin i"
"Netral","datang vaksin sinovac bandara intl supadio jakaa bawa gudang dinkes propinsi kalbar"
"Positif","pesea dosis lebih terima dosis sinovaccoronavac maksimal sep"
"Positif","informasi wajib baca giat vaksinasi masyarakat berlaku warga"
"Negatif","komando distrik militer sleman bekerjasama aparat kait stakeholder laksana serbu"
"Positif","anggota polsek babelan laksana aman giat program vaksinasi merdeka berani gerai wilayah polsek"
"Positif","warga pojok antusias ikut vaksin babinsa koramil pulokulon serda zainudin bhabinkamtibmas monitoring v"
"Positif","alhamdulillah pfizer sebenernya apa vaksin tidak"
"Negatif","vaksinasi dosis drive thru fk kmk ugm gelar komando distrik militer sleman bekerjasama d"
"Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac h"
"Netral","dapetnya sinovac beda vaksin sih"
"Netral","mohon informasi vaksin dosis sinovac gaa kalauada informasi mana"
"Positif","informasi vaksin bekas puskemas margajaya sebelah adil agama vaksin pfizer dosis sinovac d"
"Positif","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin"
"Negatif","hasil gambar kandung vaksin sinovac udah zoom virus bentuk gurita mati"
"Netral","ais kasih vaksin kebal koped kalaulisa mah pakenya sinovac lisa doang larang"
"Negatif","masuk category no vaccine pergh sedih marah"
"Positif","batituud koramil kradenan pelda supriyanto anggota monitoring serbu vaksinasi kodam ivdiponegoro w"
"Positif","en nya vaksin moderna pas tau sinovac jalan sehat"
"Positif","bang bon belum vaksin hasil vaksin kali sinovac hasil mea"
"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandung"
"Positif","puri nder vaksin jenis vaksin pfizer sinovac moderna"
"Positif","warga geyer vaksin dosis babinsa koramil gundih serda kenang kades angkat desa geyer monitorin"
"Positif","aussie vaksin kak bukan tinggal indonesia syarat vaksin"
"Positif","sinovac bukan vaksin dosis pegal banget tang vaksin ama tidak pegal"
"Negatif","vaksin habis covid belum genap gapapa karawang available sinovac yowis"
"Negatif","rumah sakit drm hassan toto info vaksin jenis moderna sinovac"
"Netral","udah vaksin sinovac"
"Positif","belum vaksin rek vaksin dosis vaksin dosis sinovac umur atas"
"Netral","beugas l titiwangsa gawai stesen muhammad nor afiq bin budin tugas baris hadap"
"Positif","wkwk ajg twit ngomong nyari thread vaksin akun buzzer anti vacc block ngetwit doang wow"
"Positif","ayo dukung vaksinasi pandemi lalu patuh prokes m"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"Netral","tolong informasi vaksin sinovac pfizer"
"Positif","jenis vaksin sinovac moderna jenis vaksin bukti aman bantu kebal tubuh"
"Netral","distribusi vaksin sinovac kawal babinsa"
"Positif","alhamdulillah vaksin dosis ama desa sebelah sinovac suami adik ipar sbg apara"
"Negatif","ponakan mumpung dibolehin vaksin pilih pfizer instead of moderna pas boleh moderna takut takut sa"
"Netral","agam jenis vaksin covid indonesia sinovac moderna astrazeneca shinopharm pfizer"
"Positif","serbu vaksin sinovac dosis desa sumberejo mranggen tembus target vaksin"
"Netral","vaksin sinovac wow"
"Positif","situbondo antusias masyarakat situbondo serbu vaksinasi covid dosis jenis vaksin sinovac"
"Positif","tidak pilih vaksin gaes dapet sinovac benar bantu kena cov yug"
"Positif","informasi vaksinasi covid reposted from usia jenis vaksin astrazeneca usia th jenis v"
"Netral","pas nganter anak vaksin bbrp pfizer astrazeneca suami sinovac alhamdul"
"Positif","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek d"
"Positif","pemerintah upaya sedia vaksin baik skema multilateral bilateral cukup"
"Negatif","besok juta hari rutin dapat sinovac tidak hati"
"Negatif","bingung vaksin sinovac astrazeneca enak"
"Negatif","enam jenis vaksin masuk indonesia sinovac efikasi a"
"Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh ka"
"Negatif","besok juta hari rutin dapat sinovac tidak hat"
"Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac"
"Positif","kalauudah vaksin sinovac vaksin moderna pfizer tidak"
"Positif","sobat polri vaksin covid adakan menteng tenggulun camat menteng jakaa pusat jenis vaksin sinov"
"Netral","gantung vaksin e ndra dapet sinovac dapet booster dosis pakai mod"
"Netral","cirebon informasi vaksin kota cirebon giat laksana abuh cirebon te"
"Positif","informasi jadwal vaksin stadion pakansari bogor sedia astrazeneca moderna sinovac"
"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten ban"
"Positif","belum vaksin rek vaksin dosis vaksin dosis sinovac umur atas"
"Netral","wal vaksin coronavac samakh sinovac"
"Netral","sambut hut tni kodam vbrawijaya adakan upacara viual bagi vaksin sinovac masyar"
"Positif","sentra vaksin binplaz puskesmas betung layan dosis jenis vaksin sinovac"
"Positif","informasi vaksin dosis belum vaksinasi gerai vaksinasi polres gunungkidul buka pe"
"Positif","dips vaksin dosis coronavacsinovac disemarang ktp semarang tidak lihat web victori mar"
"Negatif","halo sahabat rumah sakit baptis batu jadwal pesea vaksin c sinovac tunda ayan dosis"
"Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa"
"Netral","pas vaksin mba kemeng sinovac biru"
"Negatif","orang astrazeneca ngrasa superior sih tolong be kind people jangan orang sinovac"
"Netral","aussie vaksin kak bukan tinggal indonesia syarat"
"Positif","iya negara teentu tidak terima turis vaksin sinovac jenis jenis variasi vaks"
"Netral","jog vaksin ama nama sinovac bukan mana"
"Positif","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis ama j"
"Positif","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis pe"
"Negatif","vaksin inti ngelindungin covid lagipula tidak orang milih ma"
"Netral","masuk akal asumsi booster vaksin virus lemah rangorang singapore"
"Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat wni foto copy ktpkiakk"
"Netral","vaksin astrazeneca sinovac"
"Netral","jenis vaksin astrazeneca sinovac"
"Netral","vaksin sinovac astrazeneca"
"Positif","selamat vaksin dosis sinovac sedia"
"Netral","mu kontaminasi kandung vaksin bahaya nyawa manusia tinggal akibat vaksin mas"
"Netral","wkwkw vaksin sinovac"
"Positif","vaksin sinovac halal suci"
"Positif","vaksin sinovac halal"
"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandung l"
"Netral","vaksin astrazeneca sinopharm pfizer haram mu sinovac nyata halal sinar jateng"
"Positif","mjb kalauudah vaksin sinovac kali vaksin booster vaksin sinovac"
"Positif","halo vaksin sinovac dosis udah tidak terima kasih"
"Positif","gapaapaaa sinovac santai badan fit pas vaksin tidak flu gaenak bad"
"Netral","halo kota udah tidak nyediain vaksin sinovac udah daftar by web vaksinasitangera"
"Netral","indonesia datang juta dosis vaksin sinovac bentuk"
"Positif","masyarakat imbau tidak pilihpilih vaksin il a heures vaksin covid"
"Netral","pangkoarmada i tni pantau serbu dosis vaksin sinovac kabupaten pasuruan"
"Negatif","sinovac pemerintah datang vaksin covid pfizer astrazeneca jalur komersial"
"Negatif","juta dosis vaksin covid sinovac bentuk tanah air"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ilang"
"Positif","vaksin sinovac vaksin pas vaksin massal bagi kaga milih"
"Netral","tolong keluarga kaga vaksin gamau sinovac j"
"Netral","jangan ngaku kuat yen vaksin mu iseh sinovac"
"Negatif","indonesia datang juta dosis vaksin covid sinovac astrazeneca"
"Positif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"Positif","mohon maaf orang orang vaksin pas sinovac lu vaksin biar ma"
"Positif","vaksin sinovac vaksin nya moderna tu gaboleh"
"Netral","sinovac vaksin belum"
"Negatif","tolak pemaksaan vaksin mba kritik keras vaksin sinovac tidak"
"Positif","dok pasang ring udah stabil tensi udah vaksin c"
"Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sinovac"
"Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak teera"
"Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"Negatif","tahap pemerintah datang juta dosis vaksin covid sinovac"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm p"
"Netral","vaksin sinovac"
"Negatif","sumpah anjing pakai sinovac kesel lu untung vaksin orang jangan pilih pilih vak"
"Netral","jadwal daftar pesea vaksin sinovac polres magelang"
"Negatif","vaksin sinovac panggil"
"Positif","buka sempat vaksin dosis sinovac khusus warga ktp sukoharjo vaksin warga"
"Netral","sinovac minimal hri vaksin k tidak"
"Negatif","oh iy vaksin sinovac dosis rasany dugun banget literally pergi"
"Positif","teman mohon informasi ibu butuh vaksin vaksin ama sinovac perintah dokter"
"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandun"
"Negatif","wahhh anak sinovac ama tidak sik normal"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"Positif","mending temenku jenis vaksin kena covid teman nya te"
"Netral","rasah kakehan cangkem asline ki ultramentapi bar vaksin sinovackekuatanku ilang"
"Positif","wamenkes datang vaksin janssen sinovac dukung cepat vaksinasi nasional"
"Positif","vaksin pfizer asa banget gel banding vaksin sinovac"
"Positif","gratis vaksin sinovac dosis surabaya jadwal"
"Positif","strategi tahap vaksin tanah air pakai sinovac kaya sinovac minim efek samping"
"Positif","bukti eksperimen bluetooth hubung vaksin vaksin bluetooth suppo tidak vaksin afiliasi bluetoo"
"Netral","w dapetnya sinovac vaksin banget emang salah muluu heran"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"Negatif","pakai sinovac vaksin ama pegal banget vaksin pegal dosis"
"Positif","datang juta dosis vaksin sinovac pemerintah pasti stok vaksin aman"
"Positif","iya awal vaksin dpet nya sinovac menu makan pilih pi"
"Negatif","wkwk sumpah sok keren banget dapet vaksin sinovac konsultasi dokter sakit bawaa"
"Positif","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu tukar"
"Netral","hallo sahabat humas ayo vaksin sinovac dosis dosis aztrazeneca dosis moderna dosis mako"
"Positif","buka daftar vaksinasi galeri as studio hanafi periode jenis vaksin sinovac"
"Positif","kabupaten pasuruan sasar serbu vaksinasi tni dosis vaksin sinovac"
"Netral","yassss vaksin selese anjay sinovac kaga efek samping uhuy moga"
"Positif","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"Positif","kota bantu ribu vaksin kota terima bantu"
"Netral","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sinovac melep"
"Netral","nemu vaksin sinovac dosis"
"Positif","layan vaksinasi vaksin sinovac dosis dosis kuota p"
"Positif","selamat bpkibu memang jabat beri vaksin izikan beaya s"
"Netral","pakai merk vaksin ka sinovac"
"Positif","vaksin bluetooth suppo tidak vaksin afiliasi bluetooth astrazeneca pfizer moderna kecuali"
"Negatif","kalauvaksin tu mending sinovac pzjehtjwkfjwjdjs sih"
"Negatif","kalauadanya daerah sinovac marah en daftar kota"
"Negatif","butuh tolong kat area pj available vaksin sinovac aritu trpaksa cancel nd dose sbb ve covid smpai skr"
"Negatif","kmarin takut efek vaksin sinovac gamau vaksin skrang pakai sinovac dikatain mau ap"
"Netral","comment nder vaksin sinovac potensi titan biar ketar tir aneh emang top"
"Negatif","isteri covid lepas terima dosis sinovac bulan belu"
"Negatif","vaksin nya sinovac kak hah"
"Positif","sinovacklu om pakai vaksin apasaya vaksin debat bossujungnya tidak vaksin pecat"
"Negatif","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"Negatif","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"Netral","presiden jajar pemerintahan public figure nakes mostly vaksin sinovac and it helps so bilang"
"Netral","vaksin sinovac kyknya orang beda efek tante vaksin astrazeneca malemnya meriang"
"Netral","pakai vaksin tugw alergi parah kek kiriruam gatel banget kek kanan tidak bn"
"Negatif","nek iseh vaksin sinovac rasah sok kerass"
"Netral","efektif efek samping takut"
"Netral","hahahahsha malass hasut mak vaksin elok pilih sinovac je nak"
"Positif","vaksin sinovac vaksin pas vaksin massal bagi kaga bi"
"Positif","vaksin sinovac dosis ama gapapa vaksin"
"Netral","tolong informasi vaksin dosis astrazeneca tidak kabupaten semarang banyak sinovac moderna"
"Positif","salah multiple allergies proceed nak vaksin pilih doktor na"
"Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"Netral","gratis dosis vaksin covid sinovac bandung"
"Positif","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"Netral","vaksin nder sinovac as kalausinovac jarak kalauastrazeneca jarak"
"Negatif","soal serius campur dosis vaksin nampak kat tiktok sbb orang tu dosis sinovac tanah arab"
"Positif","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu terminal"
"Negatif","asem nek ono informasi vaksin sinovac dosis tidak ribet kabar yak"
"Netral","wal bevaksin kali vaksin ama tu sinovac dasar astrazeneca kah s"
"Positif","aneh kemarenkemaren tidak vaksin dikatain udah vaksin ratara"
"Netral","buka layan vaksin jenis sinovac halaman mako polsek kedungwaringin pkm kedungwaringin relawan va"
"Negatif","duh bokap nyokap pakai sinovac pas kena covid otg tidak gejala temen pakai astrazeneca"
"Positif","anggota polsek babelan laksana giat aman giat vaksinasi merdeka berani dosis selenggara"
"Positif","dosis vaksin sinovac siap vaksinasi tahap ama"
"Netral","habis vaksin sinovac gebuk gelora"
"Positif","informasi vaksinasi setiajaya toyota cimanggis depok periode jenis vaksin sinovac"
"Positif","ayo hadir gerai vaksin tni polri laksana w"
"Netral","wagub inga inga efektif sinovac guru guru mendap"
"Positif","vaksin sinovac oke lemesin lengan bismillah kak nakes suntik vaksin lengan"
"Positif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"Netral","keluarga beda merk vaksin sinovac adek pfizer astrazeneca kakak moderna semu"
"Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"Positif","indonesia terima juta dosis vaksin dukung r sinovac"
"Positif","efektif sinovac guru guru vaksin booster"
"Negatif","tidak vaksin ama astrazeneca sinovac trauma banget abis vaksin astrazeneca rada nyiksa"
"Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru st"
"Negatif","yup prancis belum aku vaksin sinovac"
"Netral","abis vaksin pegal ngantuk doang sih malemnya ngomong ngomong sinovac dapetnya"
"Netral","sinovac vaksin ama lengan bekas vaksin pegal doang vaksin tidak efek samsek"
"Positif","efektif sinovac guru guru jakaa vaksin booster"
"Positif","vaksin udah h ngantuk mulu pegal badan efek gin"
"Positif","efektif sinovac guru guru jakaa vaksin booster unt"
"Positif","layan vaksinasi vaksin sinovac dosis dosis kuo"
"Netral","efektif sinovac guru guru jakaa"
"Netral","vaksinasi massal covid ajar smp s a masyarakat porseapelaksanakan suntik vaksin"
"Netral","efektif sinovac guru guru jakaa har"
"Netral","efektif sinovac guru guru jakaa va"
"Positif","preston kak vaksin dosis sinovacastra bisaaaa"
"Negatif","lisa pke vaksin sinovac kayak tidak bsa terbang neger"
"Positif","ayo hadir gerai vaksin tni polri laksana"
"Netral","bhabinkamtibmas kalurahan maguwoharjo sambang pantau laksana vaksin tahap i sinovac warga padukuhan"
"Netral","butuh vaksin dosis astrazeneca sinovac langsung"
"Netral","vaksinasi tahap satu vaksin jenis sinovac orang ikut orang karena"
"Netral","orang ikut vaksin pfizer tahap orang ikut vaksin sinovac tahap ama gedung s"
"Netral","warga ikut vaksin pfizer sinovac puskesmas wanasari"
"Positif","teliti booster vaksin pfizer bukti manjur sinovac"
"Positif","kalaudari sedia biofarma produksi udah beli biang vaksin coldchain tidak"
"Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa"
"Positif","informasi vaksinasi setiajaya toyota cimanggis depok periode jenis vaksin"
"Netral","aman datang vaksin sinovac jakaa pesawat lion air jt bawa"
"Netral","angka efikasi sinovac peran wave junijuli kontra vaksi"
"Netral","angka efikasi sinovac peran wave junijuli kontra"
"Netral","kedatngan vaksin sinovac bandara intl pesawat lion air jakaa"
"Positif","rangka ingat hut tni tni bais badan intelijen strategis gelontor vaksin jenis s"
"Netral","pkl sd babinsa desa tempursari serka maryadi laksana pen"
"Netral","jenis vaksin sinovac astrazeneca moderna"
"Netral","iya syarat masuk perancis deh kayak vaksin sinovac tidak berlaku pe"
"Positif","babinsa koramil margorejo u masgito bripka yusup catur gunawan laksana damping vaksinasi jenis"
"Positif","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"Positif","vaksinasi presisi lokasi desa batulayar barat desa lembah sari des"
"Negatif","isteri covid lepas terima dosis sinovac bulan b"
"Netral","vaksin astrazeneca engah engah sept ou adekku sinovac"
"Positif","syukur keluarga vaksin sinovaccoronavac vaxzevria moderna moga paring sehat kabeh"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silahka"
"Positif","kalausinovac sih laki pas vaksin ny telat minggu tidak kalaubelom jadwal vaksin tidak"
"Negatif","vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis syarat jadwal l"
"Netral","pahit manis ppv integrasi idcc shah alam beri vaksinasi"
