"klasifikasi","x"
"Netral","informasi vaksin sinovac dosis malang"
"Negatif","rausah kakean polah asline iki ultraman mergo vaksin sinovac kuat ilang"
"Netral","vaksin pasti jenis vaksin sinovaccorona vac jarak vaksin ama vaksin"
"Positif","kabar vaksin sinovac vaksin sinovac dosis bukti hasil antibodi menetralisir varian"
"Negatif","gejala vaksin moderna parah banding vaksin sinovac demam"
"Positif","astrazeneca vaksin pakai pfizer kalaudi indonesia tidak sih sinovac"
"Netral","tinggal merah putih vaksin sinovac kak"
"Netral","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat kik"
"Negatif","reuni duo alumni waawan senior tempo dahlan iskan vaksin sinovac mall full youtube"
"Negatif","pemerintah rakyat vaksin sinovac vaksin tidak berlaku mana"
"Netral","cepat vaksinasi rangka penanganan covid indonesia sehat laksana kantor kapanew"
"Netral","asal puskesmas nas sehat kota ambon tim tni jenis vaksin sinovac"
"Netral","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek daftar"
"Negatif","st panel pn kaji teknologi sptotnya pakai virus btol mrna comes from dna copy of vir"
"Positif","lihat balas bilang sakit jujur tidak baik banget dri ama s"
"Negatif","asline kuat boboboiy bar suntik vaksin sinovac winggi kuat dadi ilang kabeh"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang kabeh"
"Netral","informasi vaksin sinovac dosis"
"Netral","vaksin astrazeneca sinovac"
"Netral","tau vaksin sinovac tidak kalauada vaksin sinovac"
"Netral","gimana kalaumau negri vaksin sinovac negar"
"Netral","besok vaksin sinovac dosis bebas syarat dosis sinovac"
"Netral","bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan bina upt puskesmas i"
"Netral","vaksin sinovac vaksin indonesia simak manfaat vaksin lawan palsu vaksin"
"Netral","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat"
"Netral","ayo vaksin"
"Netral","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin"
"Positif","malaysia terima bekal ama vaksin coronavac liter hantar terminal"
"Netral","besok vaksin sinovac dosis bebas syarat dosis sin"
"Negatif","orangorang kalauvaksin sinovac efek ngantuk makan mulu lohhh tidak bedain efek vaksin a"
"Negatif","iyap sinovac tidak aku singapur kaya eropa tidak vaksin ulang modernapfizer"
"Netral","gerai vaksin camat pondok gede lokasi vaksinasi balai warga sigma rw lurah jatimakmur giat vaksin p"
"Negatif","eh serius mikirin biaya sgmalaythai the most impoant thing mikir vaksinnnnn"
"Positif","dokter bilang vaksin sinovac nya maju mundur"
"Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk d"
"Negatif","efek vaksin sinovac usaha makan minum biar tubuh bugarr malas makan"
"Netral","jog jadwal vaksin sinovac siloam"
"Netral","informasi vaksin sinovac bandung teman lokasi isbi bdg langsung link"
"Negatif","gausah dosis tempat vaksin sinovac"
"Netral","iya sinovac nder langsung dehhhh ajaa tempat vaksin ama"
"Netral","serda kokok juang nadili babinsa desa poleng laksana giat damping serbu vaksin covid dosis l tah"
"Netral","beempat pendopo kantor desa plosokerep camat karangmalang kabupaten sragen laksana vaksin dosis r"
"Netral","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"Netral","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang"
"Netral","vaksin lokal kembang drterawan dkk bukan seh vaksin merah putih vaks"
"Negatif","pakai sinovac efek pegal suntik ngantuk langsung ngefek gel vaksin selang hari"
"Netral","jadwal vaksin covid tangerang selatan jenis sinovac dosis"
"Positif","negara terima datang vaksin sinovac banyak negara l"
"Negatif","tidak bang gimana singapur ketat datang m"
"Positif","benar sinovac efek tidak liat pas suntik vaksin ast"
"Negatif","temen tolong udah vaksin sinovac ngerasa sakit dada tekan tidak"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm"
"Netral","vaksin sinovac daftar orang registrasi orang vaksin"
"Netral","kandano i cek ndang vaksin sinovac jare"
"Positif","terusi analisis aefi juta vaksin profil selamat ba"
"Positif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moderna sinov"
"Positif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moder"
"Netral","team vaksinator satbrimob polda kalsel gelar serbu vaksin presisi pondok pesantren wali"
"Netral","nyata akhbar menteri kesihatan malaysia kuasa kawal dadah pbkd bermesyuarat"
"Negatif","kalauvaksin astrazeneca jeda vaksin banget ade sinovac skrng udah vaksin duluan belum"
"Positif","alhamdulillah rumah vaksin abah pfizer kakak istri astrazeneca me sinovac sehat"
"Netral","laksana vaksinasi keliling tahap tahap keltanjung marulak hilir kecrambutan vaksin sinovac ut"
"Netral","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin sinov"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"Netral","umum vaksinasi dosis sinovac laksana puskesmas pakis ditund"
"Netral","informasi vaksin malang dosis sinovac makasih komen gkb"
"Negatif","tetangga pekan vaksin dosia sinovac alami dengkul lemas tidak nafsu makan mual kalauma"
"Netral","sd selesai beempat namang laksana p"
"Netral","cak ayo vaksin sinovac dosis ndek gressmall ikut vaksin ama sinovac ta a"
"Positif","goh bak na bawa pusat beri vaksin ppv hospital pakar komuniti ipoh pcsh teman ahli keluarg"
"Negatif","tetangga pekan vaksin dosia sinovac alami dengkul lemas tidak nafsu makan mual kalaumakan"
"Positif","hah vaksin bukan sinovac remaja sinovac"
"Negatif","iyaalaahh kalaubeda ntr tubuh belum biasa vaksin sinovac pas kasih beda jenis tmbh ambyarr"
"Netral","kalauvaksin ama sinovac vaksin sinovac kah"
"Netral","ayo vaksin astrazeneca dosis sinovac dosis biddokkes polda kepri kepri mall"
"Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis ama vaksin"
"Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat jenderal kpu"
"Negatif","anti banget vaksin ujungujungnya suruh milih sinovac astrazeneca moderna pilih jat"
"Netral","sih nder kalauvaksin udah jenis sinovac vaksin nya sinovac bukan"
"Netral","benar temenmu kalausudah vaksin pakai sinovac tidak move vaksin"
"Netral","nder oot adek vaksin sinovac covid udah vaksin k"
"Positif","gratis vaksin sinovac moderna pfizer hamil"
"Netral","jenis vaksin sinovac astrazeneca moderna"
"Netral","hello nd dose adik ubah bacc kakak ampang ada bacc khas vaksin"
"Netral","mukomuko terima tambah dosis vaksin sinovac news bengkulu"
"Netral","goh bak na tinggal taman sin far bawa pusat beri vaksin ppv hospital pakar komu"
"Negatif","sinovac sinopharm inactivated whole virus ukur lab srbd"
"Positif","alhamdulillah udah suntik vaksin sinovac dosis ama"
"Netral","vaksin sinovac sinopharm tugas sinopharm udah bawa puskesmas sinovac"
"Positif","vaksin sinovac kali tidak efek samping samsek i guess i could call myself lucky parno asa tidak vaksin"
"Netral","ayo intip beda vaksin astrazeneca sinovac"
"Netral","terusi analisis aefi juta vaksin profil lama"
"Positif","warga singapura ramairamai pilih sinovac sinopharm vaksin booster"
"Positif","sinovac murah siap ro orang keluarga vaksin pandemi"
"Netral","sdf rek informasi vaksin dosis sinovac area waru"
"Negatif","bacot asli ultramentapi gara gara vaksin sinovac kuat hilang"
"Positif","sinovac murah siap ro orang keluarga vaksin pandemi mas"
"Netral","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis a"
"Netral","impoir vaksin sinovac"
"Negatif","yaallah nonton konser vaksin sinovac"
"Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharja"
"Negatif","orang peikai menteri diskriminasi orang vaccinated non vaccinated jenis vaksin kena discr"
"Positif","vaksin sinovac senjata utama republik indonesia penangana pandemi karantina republik indonesia in"
"Positif","total vaksin indonesia baik bentuk bulk bahan baku bentuk"
"Netral","vaksinasi dosis drive thru fk kmk ugm gelar sleman komando distrik militer sleman b"
"Netral","ayan vaksinasi dosis sinovac kantor unit laka satlantas jalan inspeksi kalimalang wangunharj"
"Positif","syukur alhamdulillah udah baik emang baik istirahat abis vaksin"
"Netral","laksana vaksinasi kodim pati jenis vaksin sinovac puskesmas tambakromo sasar vaksin i"
"Netral","datang vaksin sinovac bandara intl supadio jakaa bawa gudang dinkes propinsi kalbar"
"Netral","pesea dosis lebih terima dosis sinovaccoronavac maksimal sep"
"Netral","informasi wajib baca giat vaksinasi masyarakat berlaku warga"
"Netral","komando distrik militer sleman bekerjasama aparat kait stakeholder laksana serbu"
"Positif","anggota polsek babelan laksana aman giat program vaksinasi merdeka berani gerai wilayah polsek"
"Positif","warga pojok antusias ikut vaksin babinsa koramil pulokulon serda zainudin bhabinkamtibmas monitoring v"
"Positif","alhamdulillah pfizer sebenernya apa vaksin tidak"
"Netral","vaksinasi dosis drive thru fk kmk ugm gelar komando distrik militer sleman bekerjasama d"
"Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac h"
"Netral","dapetnya sinovac beda vaksin sih"
"Netral","mohon informasi vaksin dosis sinovac gaa kalauada informasi mana"
"Netral","informasi vaksin bekas puskemas margajaya sebelah adil agama vaksin pfizer dosis sinovac d"
"Netral","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin"
"Negatif","hasil gambar kandung vaksin sinovac udah zoom virus bentuk gurita mati"
"Negatif","ais kasih vaksin kebal koped kalaulisa mah pakenya sinovac lisa doang larang"
"Negatif","masuk category no vaccine pergh sedih marah"
"Netral","batituud koramil kradenan pelda supriyanto anggota monitoring serbu vaksinasi kodam ivdiponegoro w"
"Positif","en nya vaksin moderna pas tau sinovac jalan sehat"
"Netral","bang bon belum vaksin hasil vaksin kali sinovac hasil mea"
"Netral","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandung"
"Netral","puri nder vaksin jenis vaksin pfizer sinovac moderna"
"Netral","warga geyer vaksin dosis babinsa koramil gundih serda kenang kades angkat desa geyer monitorin"
"Positif","aussie vaksin kak bukan tinggal indonesia syarat vaksin"
"Negatif","sinovac bukan vaksin dosis pegal banget tang vaksin ama tidak pegal"
"Positif","vaksin habis covid belum genap gapapa karawang available sinovac yowis"
"Netral","rumah sakit drm hassan toto info vaksin jenis moderna sinovac"
"Positif","udah vaksin sinovac"
"Netral","belum vaksin rek vaksin dosis vaksin dosis sinovac umur atas"
"Netral","beugas l titiwangsa gawai stesen muhammad nor afiq bin budin tugas baris hadap"
"Negatif","wkwk ajg twit ngomong nyari thread vaksin akun buzzer anti vacc block ngetwit doang wow"
"Positif","ayo dukung vaksinasi pandemi lalu patuh prokes m"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"Netral","tolong informasi vaksin sinovac pfizer"
"Positif","jenis vaksin sinovac moderna jenis vaksin bukti aman bantu kebal tubuh"
"Positif","distribusi vaksin sinovac kawal babinsa"
"Positif","alhamdulillah vaksin dosis ama desa sebelah sinovac suami adik ipar sbg apara"
"Netral","ponakan mumpung dibolehin vaksin pilih pfizer instead of moderna pas boleh moderna takut takut sa"
"Netral","agam jenis vaksin covid indonesia sinovac moderna astrazeneca shinopharm pfizer"
"Netral","serbu vaksin sinovac dosis desa sumberejo mranggen tembus target vaksin"
"Positif","vaksin sinovac wow"
"Positif","situbondo antusias masyarakat situbondo serbu vaksinasi covid dosis jenis vaksin sinovac"
"Negatif","tidak pilih vaksin gaes dapet sinovac benar bantu kena cov yug"
"Netral","informasi vaksinasi covid reposted from usia jenis vaksin astrazeneca usia th jenis v"
"Positif","pas nganter anak vaksin bbrp pfizer astrazeneca suami sinovac alhamdul"
"Netral","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek d"
"Positif","pemerintah upaya sedia vaksin baik skema multilateral bilateral cukup"
"Positif","besok juta hari rutin dapat sinovac tidak hati"
"Netral","bingung vaksin sinovac astrazeneca enak"
"Netral","enam jenis vaksin masuk indonesia sinovac efikasi a"
"Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh ka"
"Positif","besok juta hari rutin dapat sinovac tidak hat"
"Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac"
"Netral","kalauudah vaksin sinovac vaksin moderna pfizer tidak"
"Netral","sobat polri vaksin covid adakan menteng tenggulun camat menteng jakaa pusat jenis vaksin sinov"
"Netral","gantung vaksin e ndra dapet sinovac dapet booster dosis pakai mod"
"Netral","cirebon informasi vaksin kota cirebon giat laksana abuh cirebon te"
"Netral","informasi jadwal vaksin stadion pakansari bogor sedia astrazeneca moderna sinovac"
"Netral","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten ban"
"Netral","belum vaksin rek vaksin dosis vaksin dosis sinovac umur atas"
"Netral","wal vaksin coronavac samakh sinovac"
"Positif","sambut hut tni kodam vbrawijaya adakan upacara viual bagi vaksin sinovac masyar"
"Netral","sentra vaksin binplaz puskesmas betung layan dosis jenis vaksin sinovac"
"Netral","informasi vaksin dosis belum vaksinasi gerai vaksinasi polres gunungkidul buka pe"
"Netral","dips vaksin dosis coronavacsinovac disemarang semarang tidak lihat web victori mar"
"Netral","halo sahabat rumah sakit baptis batu jadwal pesea vaksin c sinovac tunda ayan dosis"
"Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa"
"Negatif","pas vaksin mba kemeng sinovac biru"
"Negatif","orang astrazeneca ngrasa superior sih tolong be kind people jangan orang sinovac"
"Negatif","aussie vaksin kak bukan tinggal indonesia syarat"
"Negatif","iya negara teentu tidak terima turis vaksin sinovac jenis jenis variasi vaks"
"Netral","jog vaksin ama nama sinovac bukan mana"
"Netral","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis ama j"
"Netral","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis pe"
"Positif","vaksin inti ngelindungin covid lagipula tidak orang milih ma"
"Negatif","masuk akal asumsi booster vaksin virus lemah rangorang singapore"
"Netral","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat wni foto copy ktpkiakk"
"Netral","vaksin astrazeneca sinovac"
"Netral","jenis vaksin astrazeneca sinovac"
"Netral","vaksin sinovac astrazeneca"
"Netral","selamat vaksin dosis sinovac sedia"
"Negatif","mu kontaminasi kandung vaksin bahaya nyawa manusia tinggal akibat vaksin mas"
"Negatif","wkwkw vaksin sinovac"
"Positif","vaksin sinovac halal suci"
"Positif","vaksin sinovac halal"
"Netral","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandung l"
"Netral","vaksin astrazeneca sinopharm pfizer haram mu sinovac nyata halal sinar jateng"
"Netral","mjb kalauudah vaksin sinovac kali vaksin booster vaksin sinovac"
"Netral","halo vaksin sinovac dosis udah tidak terima kasih"
"Positif","gapaapaaa sinovac santai badan fit pas vaksin tidak flu gaenak bad"
"Netral","halo kota udah tidak nyediain vaksin sinovac udah daftar by web vaksinasitangera"
"Positif","indonesia datang juta dosis vaksin sinovac bentuk"
"Netral","masyarakat imbau tidak pilihpilih vaksin il a heures vaksin covid"
"Netral","pangkoarmada i tni pantau serbu dosis vaksin sinovac kabupaten pasuruan"
"Positif","sinovac pemerintah datang vaksin covid pfizer astrazeneca jalur komersial"
"Positif","juta dosis vaksin covid sinovac bentuk tanah air"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ilang"
"Negatif","vaksin sinovac vaksin pas vaksin massal bagi kaga milih"
"Negatif","tolong keluarga kaga vaksin gamau sinovac j"
"Negatif","jangan ngaku kuat yen vaksin mu iseh sinovac"
"Positif","indonesia datang juta dosis vaksin covid sinovac astrazeneca"
"Negatif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"Netral","mohon maaf orang orang vaksin pas sinovac lu vaksin biar ma"
"Netral","vaksin sinovac vaksin nya moderna tu gaboleh"
"Positif","sinovac vaksin belum"
"Negatif","tolak pemaksaan vaksin mba kritik keras vaksin sinovac tidak"
"Positif","dok pasang ring udah stabil tensi udah vaksin c"
"Netral","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sinovac"
"Netral","selamat admin mohon informasi lapor kipi vaksin sinovac kontak teera"
"Netral","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"Positif","tahap pemerintah datang juta dosis vaksin covid sinovac"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm p"
"Netral","vaksin sinovac"
"Negatif","sumpah anjing pakai sinovac kesel lu untung vaksin orang jangan pilih pilih vak"
"Netral","jadwal daftar pesea vaksin sinovac polres magelang"
"Netral","vaksin sinovac panggil"
"Netral","buka sempat vaksin dosis sinovac khusus warga sukoharjo vaksin warga"
"Netral","sinovac minimal hri vaksin k tidak"
"Negatif","oh iy vaksin sinovac dosis rasany dugun banget literally pergi"
"Netral","teman mohon informasi ibu butuh vaksin vaksin ama sinovac perintah dokter"
"Netral","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandun"
"Positif","wahhh anak sinovac ama tidak sik normal"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"Negatif","mending temenku jenis vaksin kena covid teman nya te"
"Negatif","rasah kakehan cangkem asline ki ultramentapi bar vaksin sinovackekuatanku ilang"
"Positif","wamenkes datang vaksin janssen sinovac dukung cepat vaksinasi nasional"
"Negatif","vaksin pfizer asa banget gel banding vaksin sinovac"
"Netral","gratis vaksin sinovac dosis surabaya jadwal"
"Positif","strategi tahap vaksin tanah air pakai sinovac kaya sinovac minim efek samping"
"Netral","bukti eksperimen bluetooth hubung vaksin vaksin bluetooth suppo tidak vaksin afiliasi bluetoo"
"Negatif","w dapetnya sinovac vaksin banget emang salah muluu heran"
"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"Negatif","pakai sinovac vaksin ama pegal banget vaksin pegal dosis"
"Positif","datang juta dosis vaksin sinovac pemerintah pasti stok vaksin aman"
"Netral","iya awal vaksin dpet nya sinovac menu makan pilih pi"
"Positif","wkwk sumpah sok keren banget dapet vaksin sinovac konsultasi dokter sakit bawaa"
"Netral","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu tukar"
"Netral","hallo sahabat humas ayo vaksin sinovac dosis dosis aztrazeneca dosis moderna dosis mako"
"Netral","buka daftar vaksinasi galeri as studio hanafi periode jenis vaksin sinovac"
"Positif","kabupaten pasuruan sasar serbu vaksinasi tni dosis vaksin sinovac"
"Positif","yassss vaksin selese anjay sinovac kaga efek samping uhuy moga"
"Netral","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"Positif","kota bantu ribu vaksin kota terima bantu"
"Netral","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sinovac melep"
"Positif","nemu vaksin sinovac dosis"
"Netral","layan vaksinasi vaksin sinovac dosis dosis kuota p"
"Netral","selamat bpkibu memang jabat beri vaksin izikan beaya s"
"Netral","pakai merk vaksin ka sinovac"
"Netral","vaksin bluetooth suppo tidak vaksin afiliasi bluetooth astrazeneca pfizer moderna kecuali"
"Netral","kalauvaksin tu mending sinovac pzjehtjwkfjwjdjs sih"
"Negatif","kalauadanya daerah sinovac marah en daftar kota"
"Negatif","butuh tolong kat area pj available vaksin sinovac aritu trpaksa cancel nd dose sbb ve covid smpai skr"
"Negatif","kmarin takut efek vaksin sinovac gamau vaksin skrang pakai sinovac dikatain mau ap"
"Negatif","comment nder vaksin sinovac potensi titan biar ketar tir aneh emang top"
"Positif","isteri covid lepas terima dosis sinovac bulan belu"
"Netral","vaksin nya sinovac kak hah"
"Negatif","sinovacklu om pakai vaksin apasaya vaksin debat bossujungnya tidak vaksin pecat"
"Netral","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"Netral","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"Positif","presiden jajar pemerintahan public figure nakes mostly vaksin sinovac and it helps so bilang"
"Negatif","vaksin sinovac kyknya orang beda efek tante vaksin astrazeneca malemnya meriang"
"Negatif","pakai vaksin tugw alergi parah kek kiriruam gatel banget kek kanan tidak bn"
"Negatif","nek iseh vaksin sinovac rasah sok kerass"
"Negatif","efektif efek samping takut"
"Negatif","hahahahsha malass hasut mak vaksin elok pilih sinovac je nak"
"Negatif","vaksin sinovac vaksin pas vaksin massal bagi kaga bi"
"Positif","vaksin sinovac dosis ama gapapa vaksin"
"Netral","tolong informasi vaksin dosis astrazeneca tidak kabupaten semarang banyak sinovac moderna"
"Netral","salah multiple allergies proceed nak vaksin pilih doktor na"
"Netral","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"Netral","gratis dosis vaksin covid sinovac bandung"
"Netral","selamat admin mohon informasi lapor kipi vaksin sinovac kontak"
"Netral","vaksin nder sinovac as kalausinovac jarak kalauastrazeneca jarak"
"Negatif","soal serius campur dosis vaksin nampak kat tiktok sbb orang tu dosis sinovac tanah arab"
"Netral","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu terminal"
"Netral","asem nek ono informasi vaksin sinovac dosis tidak ribet kabar yak"
"Netral","wal bevaksin kali vaksin ama tu sinovac dasar astrazeneca kah s"
"Negatif","aneh kemarenkemaren tidak vaksin dikatain udah vaksin ratara"
"Netral","buka layan vaksin jenis sinovac halaman mako polsek kedungwaringin pkm kedungwaringin relawan va"
"Negatif","duh bokap nyokap pakai sinovac pas kena covid otg tidak gejala temen pakai astrazeneca"
"Positif","anggota polsek babelan laksana giat aman giat vaksinasi merdeka berani dosis selenggara"
"Positif","dosis vaksin sinovac siap vaksinasi tahap ama"
"Negatif","habis vaksin sinovac gebuk gelora"
"Netral","informasi vaksinasi setiajaya toyota cimanggis depok periode jenis vaksin sinovac"
"Netral","ayo hadir gerai vaksin tni polri laksana w"
"Positif","wagub inga inga efektif sinovac guru guru mendap"
"Netral","vaksin sinovac oke lemesin lengan bismillah kak nakes suntik vaksin lengan"
"Negatif","lu beda jenis vaksin bikin ribet bgini vaksin woey udah abis"
"Positif","keluarga beda merk vaksin sinovac adek pfizer astrazeneca kakak moderna semu"
"Netral","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"Positif","indonesia terima juta dosis vaksin dukung r sinovac"
"Netral","efektif sinovac guru guru vaksin booster"
"Negatif","tidak vaksin ama astrazeneca sinovac trauma banget abis vaksin astrazeneca rada nyiksa"
"Netral","vaksin ama sinovac dosis ayo rek vaksinasi drive thru st"
"Negatif","yup prancis belum aku vaksin sinovac"
"Negatif","abis vaksin pegal ngantuk doang sih malemnya ngomong ngomong sinovac dapetnya"
"Negatif","sinovac vaksin ama lengan bekas vaksin pegal doang vaksin tidak efek samsek"
"Netral","efektif sinovac guru guru jakaa vaksin booster"
"Negatif","vaksin udah h ngantuk mulu pegal badan efek gin"
"Netral","efektif sinovac guru guru jakaa vaksin booster unt"
"Netral","layan vaksinasi vaksin sinovac dosis dosis kuo"
"Netral","efektif sinovac guru guru jakaa"
"Netral","vaksinasi massal covid ajar smp s a masyarakat porseapelaksanakan suntik vaksin"
"Netral","efektif sinovac guru guru jakaa har"
"Netral","efektif sinovac guru guru jakaa va"
"Netral","preston kak vaksin dosis sinovacastra bisaaaa"
"Negatif","lisa pke vaksin sinovac kayak tidak bsa terbang neger"
"Netral","ayo hadir gerai vaksin tni polri laksana"
"Positif","bhabinkamtibmas kalurahan maguwoharjo sambang pantau laksana vaksin tahap i sinovac warga padukuhan"
"Netral","butuh vaksin dosis astrazeneca sinovac langsung"
"Negatif","vaksinasi tahap satu vaksin jenis sinovac orang ikut orang karena"
"Netral","orang ikut vaksin pfizer tahap orang ikut vaksin sinovac tahap ama gedung s"
"Netral","warga ikut vaksin pfizer sinovac puskesmas wanasari"
"Positif","teliti booster vaksin pfizer bukti manjur sinovac"
"Netral","kalaudari sedia biofarma produksi udah beli biang vaksin coldchain tidak"
"Netral","vaksin astrazeneca sinovac dosis langsung tancap gas preston yaaaa"
"Netral","informasi vaksinasi setiajaya toyota cimanggis depok periode jenis vaksin"
"Netral","aman datang vaksin sinovac jakaa pesawat lion air jt bawa"
"Positif","angka efikasi sinovac peran wave junijuli kontra vaksi"
"Positif","angka efikasi sinovac peran wave junijuli kontra"
"Positif","kedatngan vaksin sinovac bandara intl pesawat lion air jakaa"
"Positif","rangka ingat hut tni tni bais badan intelijen strategis gelontor vaksin jenis s"
"Netral","pkl sd babinsa desa tempursari serka maryadi laksana pen"
"Netral","jenis vaksin sinovac astrazeneca moderna"
"Negatif","iya syarat masuk perancis deh kayak vaksin sinovac tidak berlaku pe"
"Positif","babinsa koramil margorejo u masgito bripka yusup catur gunawan laksana damping vaksinasi jenis"
"Netral","buka daftar vaksinasi rsia asyifa depok jenis vaksin sinovac link daftar"
"Netral","vaksinasi presisi lokasi desa batulayar barat desa lembah sari des"
"Positif","isteri covid lepas terima dosis sinovac bulan b"
"Netral","vaksin astrazeneca engah engah sept ou adekku sinovac"
"Positif","syukur keluarga vaksin sinovaccoronavac vaxzevria moderna moga paring sehat kabeh"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silahka"
"Netral","kalausinovac sih laki pas vaksin ny telat minggu tidak kalaubelom jadwal vaksin tidak"
"Netral","vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis syarat jadwal l"
"Negatif","pahit manis ppv integrasi idcc shah alam beri vaksinasi"
"Netral","pimpin ipda edward daniel m kanit reskrim polsek kedungwaringin pkm karangsambung aparat desa"
